,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,991737.7272476236
2,2021-10-05,996744.196365696
3,2021-10-06,1003219.9103506815
4,2021-10-07,1011065.9516344644
5,2021-10-08,1008746.7774248697
6,2021-10-11,1007183.4300509073
7,2021-10-12,1010139.6461306192
8,2021-10-13,1013051.2986116983
9,2021-10-14,1024187.4264727213
10,2021-10-15,1027844.3844805338
11,2021-10-18,1028108.2252703287
12,2021-10-19,1027395.5181627847
13,2021-10-20,1031059.1758547403
14,2021-10-21,1035386.1369753458
15,2021-10-22,1039369.6573763468
16,2021-10-25,1047752.9609575846
17,2021-10-26,1050200.7562304116
18,2021-10-27,1046995.2939730264
19,2021-10-28,1054262.5795412636
20,2021-10-29,1054555.9666796303
21,2021-11-01,1062449.7807741738
22,2021-11-02,1064482.6733980752
23,2021-11-03,1077675.4736605263
24,2021-11-04,1083516.6189699746
25,2021-11-05,1090038.1208468056
26,2021-11-08,1078948.3928118325
27,2021-11-09,1074204.3165865517
28,2021-11-10,1074897.196232853
29,2021-11-11,1073399.9395266152
30,2021-11-12,1074660.1278048134
31,2021-11-15,1077694.1435289956
32,2021-11-16,1079243.740979252
33,2021-11-17,1080157.9414721108
34,2021-11-18,1082044.5653582192
35,2021-11-19,1081240.0876589394
36,2021-11-22,1085712.2079821206
37,2021-11-23,1087471.2607470131
38,2021-11-24,1086164.7740755654
39,2021-11-26,1066757.044606266
40,2021-11-29,1074355.4159060097
41,2021-11-30,1051465.1975222207
42,2021-12-01,1041371.8564425089
43,2021-12-02,1053755.206502018
44,2021-12-03,1054832.6061831093
45,2021-12-06,1071113.77200037
46,2021-12-07,1081377.1874437905
47,2021-12-08,1080140.8152437783
48,2021-12-09,1075398.9846697426
49,2021-12-10,1089798.3640337563
50,2021-12-13,1089288.0939074135
51,2021-12-14,1087615.7936220742
52,2021-12-15,1099556.5888414956
53,2021-12-16,1096493.3150530434
54,2021-12-17,1081475.4543123818
55,2021-12-20,1075842.4306688881
56,2021-12-21,1084108.042340336
57,2021-12-22,1095299.8986330605
58,2021-12-23,1102098.0766115761
59,2021-12-27,1113481.4221850014
60,2021-12-28,1117790.1920672036
61,2021-12-29,1121921.879208622
62,2021-12-30,1118235.6243105507
63,2021-12-31,1122335.00171381
64,2022-01-03,1133138.7129870034
65,2022-01-04,1135774.983479557
66,2022-01-05,1124630.9050875283
67,2022-01-06,1121626.8381777382
68,2022-01-07,1116124.3726015664
69,2022-01-10,1107983.9063311196
70,2022-01-11,1110666.5468721963
71,2022-01-12,1113406.1705446816
72,2022-01-13,1107235.9137926674
73,2022-01-14,1106879.210621891
74,2022-01-18,1089282.5847139931
75,2022-01-19,1087445.1764040566
76,2022-01-20,1076223.7463656045
77,2022-01-21,1066682.1546526528
78,2022-01-24,1068303.1621447182
79,2022-01-25,1054480.9243746377
80,2022-01-26,1047375.6161165811
81,2022-01-27,1044154.8214083292
82,2022-01-28,1059684.6344957924
83,2022-01-31,1075194.2360354043
84,2022-02-01,1076603.638760624
85,2022-02-02,1083308.4725008584
86,2022-02-03,1072993.1393099404
87,2022-02-04,1073408.3743105507
88,2022-02-07,1074052.9866610146
89,2022-02-08,1081651.2834597207
90,2022-02-09,1086430.2096376992
91,2022-02-10,1072479.3652926064
92,2022-02-11,1059969.8431673623
93,2022-02-14,1059856.052319584
94,2022-02-15,1068643.5923281289
95,2022-02-16,1070976.9210787392
96,2022-02-17,1067318.7196627236
97,2022-02-18,1066587.3208437539
98,2022-02-22,1051156.6316881753
99,2022-02-23,1034441.5058184244
100,2022-02-24,1029180.7526064493
101,2022-02-25,1058360.4431887246
102,2022-02-28,1050937.2157106972
103,2022-03-01,1041706.9604464151
104,2022-03-02,1056131.9966555214
105,2022-03-03,1054508.1898012734
106,2022-03-04,1049466.5037203408
107,2022-03-07,1020564.6904574014
108,2022-03-08,1001837.8739138223
109,2022-03-09,1016317.4972200968
110,2022-03-10,1011903.3167849161
111,2022-03-11,997741.0929232218
112,2022-03-14,996236.2659273722
113,2022-03-15,1021929.9117251016
114,2022-03-16,1033429.4749117472
115,2022-03-17,1043766.8511782266
116,2022-03-18,1052365.409298954
117,2022-03-21,1050462.4074526406
118,2022-03-22,1064093.538205204
119,2022-03-23,1054032.9366884804
120,2022-03-24,1061704.621899662
121,2022-03-25,1067111.9708529091
122,2022-03-28,1079199.0519686318
123,2022-03-29,1091779.5183687783
124,2022-03-30,1086854.8035708047
125,2022-03-31,1078380.8536959267
126,2022-04-01,1086163.2202272988
127,2022-04-04,1091575.4208956338
128,2022-04-05,1083995.6314669228
129,2022-04-06,1084606.403958378
130,2022-04-07,1095413.9594088173
131,2022-04-08,1095506.0211153603
132,2022-04-11,1086214.1365328408
133,2022-04-12,1087135.307599125
134,2022-04-13,1099556.6513643838
135,2022-04-14,1094659.7460909463
136,2022-04-18,1089376.8828402138
137,2022-04-19,1110538.7139711953
138,2022-04-20,1117647.118496952
139,2022-04-21,1113692.7352419472
140,2022-04-22,1093726.3288088418
141,2022-04-25,1099469.249508915
142,2022-04-26,1070910.0222139931
143,2022-04-27,1073755.1725893593
144,2022-04-28,1091397.4020205117
145,2022-04-29,1054185.5036135293
146,2022-05-02,1048743.6453219033
147,2022-05-03,1045856.7684145548
148,2022-05-04,1071503.4924746132
149,2022-05-05,1039500.1487703897
150,2022-05-06,1036504.649548588
151,2022-05-09,1023670.6178560831
152,2022-05-10,1017707.1601992227
153,2022-05-11,1004457.8617373087
154,2022-05-12,1006124.2534914591
155,2022-05-13,1027886.908368168
156,2022-05-16,1025160.808468876
157,2022-05-17,1027024.942730961
158,2022-05-18,960650.0961428263
159,2022-05-19,948450.6441774942
160,2022-05-20,945273.260800419
161,2022-05-23,961356.0594454386
162,2022-05-24,966006.3219576456
163,2022-05-25,973435.399838505
164,2022-05-26,993905.6542177774
165,2022-05-27,1011711.5528078653
166,2022-05-31,1008031.0242128946
167,2022-06-01,995655.0826540567
168,2022-06-02,1014708.4914675333
169,2022-06-03,998883.1275759317
170,2022-06-06,1002017.6786928751
171,2022-06-07,1005089.8293581583
172,2022-06-08,994593.5182161905
173,2022-06-09,978796.4853640177
174,2022-06-10,964638.9763460733
175,2022-06-13,937232.1331453897
176,2022-06-14,928997.3186770059
177,2022-06-15,936866.072293339
178,2022-06-16,918845.1533327677
179,2022-06-17,919151.0565462686
180,2022-06-21,944167.1663637735
181,2022-06-22,943170.7231722452
182,2022-06-23,960504.1327791788
183,2022-06-24,984216.3861208536
184,2022-06-27,979400.9962282755
185,2022-06-28,959122.1825838663
186,2022-06-29,963298.7444887735
187,2022-06-30,959963.057461796
188,2022-07-01,974818.0828981973
189,2022-07-05,976063.5117006876
190,2022-07-06,977232.6087008097
191,2022-07-07,984777.2512789347
192,2022-07-08,983547.3022280313
193,2022-07-11,975098.5069857218
194,2022-07-12,971446.096448002
195,2022-07-13,974095.0787020304
196,2022-07-14,974453.7260408975
197,2022-07-15,981081.4877596475
198,2022-07-18,974945.8477144815
199,2022-07-19,990651.2359591104
200,2022-07-20,990460.1281099893
201,2022-07-21,999087.2315188028
202,2022-07-22,1002088.1493960001
203,2022-07-25,1003124.0794649698
204,2022-07-26,992259.9143953897
205,2022-07-27,1007610.0169344522
206,2022-07-28,1024052.1306124307
207,2022-07-29,1029734.318097172
208,2022-08-01,1040306.5642519571
209,2022-08-02,1032370.2272921182
210,2022-08-03,1044521.9440584757
211,2022-08-04,1040909.723691044
212,2022-08-05,1033944.2650118448
213,2022-08-08,1034934.1064272501
214,2022-08-09,1028963.250744877
215,2022-08-10,1042860.6834536173
216,2022-08-11,1039527.0001497843
217,2022-08-12,1052871.2266207314
218,2022-08-15,1062359.7912874795
219,2022-08-16,1074264.8545809365
220,2022-08-17,1068655.3718691445
221,2022-08-18,1071100.847165165
222,2022-08-19,1062085.653515873
223,2022-08-22,1045816.4107485391
224,2022-08-23,1043462.1934786417
225,2022-08-24,1046620.6885042764
226,2022-08-25,1053686.2462435341
227,2022-08-26,1023482.8781405069
228,2022-08-29,1020731.5473452188
229,2022-08-30,1009921.5580568888
230,2022-08-31,1002645.0460482218
231,2022-09-01,1009284.032284794
232,2022-09-02,997245.1580477335
233,2022-09-06,992650.6350222208
234,2022-09-07,1014191.6978579141
235,2022-09-08,1015116.8611879923
236,2022-09-09,1027841.62104517
237,2022-09-12,1034622.168500004
238,2022-09-13,994435.0284395792
239,2022-09-14,997929.8501101114
240,2022-09-15,990548.7446108438
241,2022-09-16,989817.3741427042
242,2022-09-19,998603.0271578409
243,2022-09-20,989714.8525057413
244,2022-09-21,980116.7936525919
245,2022-09-22,972524.6287508585
246,2022-09-23,954297.8559694864
247,2022-09-26,954168.8272982218
248,2022-09-27,943255.3487063028
249,2022-09-28,958701.7186098673
250,2022-09-29,937806.0069094278
251,2022-09-30,920886.3075838663
252,2022-10-03,932439.1734438516
253,2022-10-04,951851.1842623331
254,2022-10-05,946304.9895144083
255,2022-10-06,934554.0034762003
256,2022-10-07,915287.330105839
257,2022-10-10,916014.2708864786
258,2022-10-11,919280.599637089
259,2022-10-12,923486.3655520059
260,2022-10-13,937320.2405520059
261,2022-10-14,915343.9324007608
262,2022-10-17,932760.3049593546
263,2022-10-18,945116.9058046915
264,2022-10-19,938993.9974642374
265,2022-10-20,924476.9859133341
266,2022-10-21,942211.4462099649
267,2022-10-24,955480.5007296182
268,2022-10-25,971192.6346560098
269,2022-10-26,973602.9122439005
270,2022-10-27,973146.4867525675
271,2022-10-28,988794.2205477335
272,2022-10-31,982839.9777193643
273,2022-11-01,977858.7352724649
274,2022-11-02,955426.3645144083
275,2022-11-03,951543.5631075479
276,2022-11-04,961916.328366337
277,2022-11-07,966406.0605593302
278,2022-11-08,967831.8008852579
279,2022-11-09,952303.4432039835
