,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,991737.8036903383
2,2021-10-05,996744.318004944
3,2021-10-06,1003220.0524854586
4,2021-10-07,1011065.9887735139
5,2021-10-08,1008746.9482843172
6,2021-10-11,1007183.5722009431
7,2021-10-12,1010139.788280655
8,2021-10-13,1013051.4883386384
9,2021-10-14,1024187.644909073
10,2021-10-15,1027844.4979135286
11,2021-10-18,1028108.5487176668
12,2021-10-19,1027395.6603128206
13,2021-10-20,1031059.2892877351
14,2021-10-21,1035386.3078347932
15,2021-10-22,1039369.7232248079
16,2021-10-25,1047753.1030923616
17,2021-10-26,1050200.9172250521
18,2021-10-27,1046995.4361154329
19,2021-10-28,1054262.7216912997
20,2021-10-29,1054556.108822037
21,2021-11-01,1062449.922908951
22,2021-11-02,1064482.8442575228
23,2021-11-03,1077675.3581964266
24,2021-11-04,1083516.818561722
25,2021-11-05,1090038.1867105258
26,2021-11-08,1078948.6686822665
27,2021-11-09,1074204.48743837
28,2021-11-10,1074897.443386246
29,2021-11-11,1073400.1103860629
30,2021-11-12,1074660.2412225497
31,2021-11-15,1077694.3143808139
32,2021-11-16,1079243.8068277133
33,2021-11-17,1080158.4175073397
34,2021-11-18,1082044.7550775302
35,2021-11-19,1081240.1247979891
36,2021-11-22,1085712.3977014315
37,2021-11-23,1087471.4316140902
38,2021-11-24,1086164.916217972
39,2021-11-26,1066757.1580316317
40,2021-11-29,1074355.481754471
41,2021-11-30,1051465.3396722567
42,2021-12-01,1041372.1511728059
43,2021-12-02,1053755.396221329
44,2021-12-03,1054832.748325516
45,2021-12-06,1071113.9904443515
46,2021-12-07,1081377.2532846224
47,2021-12-08,1080140.7760888827
48,2021-12-09,1075399.0792276156
49,2021-12-10,1089798.4774667514
50,2021-12-13,1089288.1786004794
51,2021-12-14,1087615.8307458651
52,2021-12-15,1099556.7309915316
53,2021-12-16,1096493.45719545
54,2021-12-17,1081475.596447159
55,2021-12-20,1075842.5441018832
56,2021-12-21,1084108.2607766879
57,2021-12-22,1095300.1457864535
58,2021-12-23,1102098.2187539828
59,2021-12-27,1113481.593044449
60,2021-12-28,1117790.3054925692
61,2021-12-29,1121921.945049454
62,2021-12-30,1118235.9190561068
63,2021-12-31,1122335.220150162
64,2022-01-03,1133138.70253389
65,2022-01-04,1135775.1256219638
66,2022-01-05,1124631.1235162509
67,2022-01-06,1121626.9040185702
68,2022-01-07,1116124.6197549594
69,2022-01-10,1107983.9147378695
70,2022-01-11,1110666.7653085482
71,2022-01-12,1113406.3126718295
72,2022-01-13,1107235.874622513
73,2022-01-14,1106879.3716165316
74,2022-01-18,1089282.803150345
75,2022-01-19,1087445.2898370516
76,2022-01-20,1076223.8122216952
77,2022-01-21,1066682.4305230868
78,2022-01-24,1068303.4092904818
79,2022-01-25,1054481.1715204013
80,2022-01-26,1047375.6532556306
81,2022-01-27,1044155.0398523103
82,2022-01-28,1059684.65275972
83,2022-01-31,1075194.3494531405
84,2022-02-01,1076603.6758767855
85,2022-02-02,1083308.5096475375
86,2022-02-03,1072993.2051660311
87,2022-02-04,1073408.3827096713
88,2022-02-07,1074053.23378389
89,2022-02-08,1081651.5018960726
90,2022-02-09,1086430.332966019
91,2022-02-10,1072479.7650491488
92,2022-02-11,1059969.9853250277
93,2022-02-14,1059856.2707406771
94,2022-02-15,1068643.7344857943
95,2022-02-16,1070977.1107980502
96,2022-02-17,1067318.7854959262
97,2022-02-18,1066587.5105783236
98,2022-02-22,1051156.7738382113
99,2022-02-23,1034441.495388199
100,2022-02-24,1029180.8947412263
101,2022-02-25,1058360.480320145
102,2022-02-28,1050937.3865548861
103,2022-03-01,1041707.0451547395
104,2022-03-02,1056132.138797928
105,2022-03-03,1054508.3606454623
106,2022-03-04,1049466.6745645297
107,2022-03-07,1020564.8613015901
108,2022-03-08,1001838.0636483919
109,2022-03-09,1016317.5343667757
110,2022-03-10,1011903.5065347444
111,2022-03-11,997741.3400766145
112,2022-03-14,996236.5130807649
113,2022-03-15,1021930.0062906038
114,2022-03-16,1033429.5883218538
115,2022-03-17,1043766.9170419466
116,2022-03-18,1052365.5514718783
117,2022-03-21,1050462.41586702
118,2022-03-22,1064093.6040689242
119,2022-03-23,1054033.1551248324
120,2022-03-24,1061704.840336014
121,2022-03-25,1067112.1129953158
122,2022-03-28,1079199.346698929
123,2022-03-29,1091779.6604959262
124,2022-03-30,1086854.869419266
125,2022-03-31,1078381.0721322787
126,2022-04-01,1086163.2573587191
127,2022-04-04,1091575.5819131625
128,2022-04-05,1083995.8499032748
129,2022-04-06,1084606.4410897982
130,2022-04-07,1095414.044117142
131,2022-04-08,1095506.268284012
132,2022-04-11,1086214.431263138
133,2022-04-12,1087135.4210244906
134,2022-04-13,1099556.688495804
135,2022-04-14,1094659.993259598
136,2022-04-18,1089376.9199716342
137,2022-04-19,1110538.9611093295
138,2022-04-20,1117647.1367685092
139,2022-04-21,1113692.877384354
140,2022-04-22,1093726.5759774935
141,2022-04-25,1099469.4203683627
142,2022-04-26,1070910.1930734408
143,2022-04-27,1073755.4197274935
144,2022-04-28,1091397.6204568637
145,2022-04-29,1054185.6457406771
146,2022-05-02,1048743.7111703646
147,2022-05-03,1045856.8629647981
148,2022-05-04,1071503.5583078158
149,2022-05-05,1039500.3483316194
150,2022-05-06,1036504.8204080354
151,2022-05-09,1023670.6549875032
152,2022-05-10,1017707.2260476839
153,2022-05-11,1004458.0801889192
154,2022-05-12,1006124.2430459749
155,2022-05-13,1027887.1268045198
156,2022-05-16,1025160.8743020784
157,2022-05-17,1027025.2087442171
158,2022-05-18,960650.343296219
159,2022-05-19,948450.862613846
160,2022-05-20,945273.4029275667
161,2022-05-23,961356.0965768587
162,2022-05-24,966006.4353982698
163,2022-05-25,973435.5132638704
164,2022-05-26,993905.6437722932
165,2022-05-27,1011711.5899545442
166,2022-05-31,1008031.1187783967
167,2022-06-01,995655.2247964632
168,2022-06-02,1014708.5573007356
169,2022-06-03,998883.2508584749
170,2022-06-06,1002017.8971444856
171,2022-06-07,1005089.8952066194
172,2022-06-08,994593.7079355012
173,2022-06-09,978796.7325174104
174,2022-06-10,964639.166065384
175,2022-06-13,937232.4278756868
176,2022-06-14,928997.3558236848
177,2022-06-15,936866.2144204866
178,2022-06-16,918845.2191812288
179,2022-06-17,919151.2749826204
180,2022-06-21,944167.337223221
181,2022-06-22,943170.7890207063
182,2022-06-23,960504.3224984895
183,2022-06-24,984216.6045724641
184,2022-06-27,979401.1670877229
185,2022-06-28,959122.2484170686
186,2022-06-29,963298.8579293977
187,2022-06-30,959963.2471811067
188,2022-07-01,974818.1963235628
189,2022-07-05,976063.625126053
190,2022-07-06,977232.7221261751
191,2022-07-07,984777.4984323274
192,2022-07-08,983547.3680764925
193,2022-07-11,975098.677860428
194,2022-07-12,971446.1335794221
195,2022-07-13,974095.1921426546
196,2022-07-14,974453.839466263
197,2022-07-15,981081.629902054
198,2022-07-18,974946.0948678743
199,2022-07-19,990651.3493844758
200,2022-07-20,990460.2415353548
201,2022-07-21,999087.3736612092
202,2022-07-22,1002088.186542679
203,2022-07-25,1003124.2503091585
204,2022-07-26,992260.1041147005
205,2022-07-27,1007610.2066385042
206,2022-07-28,1024052.1201822053
207,2022-07-29,1029734.4602395784
208,2022-08-01,1040306.7063943635
209,2022-08-02,1032370.2644235383
210,2022-08-03,1044522.1436349641
211,2022-08-04,1040909.8945352327
212,2022-08-05,1033944.4358712923
213,2022-08-08,1034934.2198526155
214,2022-08-09,1028963.3928720247
215,2022-08-10,1042860.8543130647
216,2022-08-11,1039527.0660135042
217,2022-08-12,1052871.3974954379
218,2022-08-15,1062359.8858682406
219,2022-08-16,1074265.0730172885
220,2022-08-17,1068655.6190225375
221,2022-08-18,1071101.0180246127
222,2022-08-19,1062085.7193643344
223,2022-08-22,1045816.6004678499
224,2022-08-23,1043462.4119149934
225,2022-08-24,1046620.7543527376
226,2022-08-25,1053686.4646798861
227,2022-08-26,1023483.0202676546
228,2022-08-29,1020731.7083474885
229,2022-08-30,1009921.7001992952
230,2022-08-31,1002645.1881753694
231,2022-09-01,1009284.2794534456
232,2022-09-02,997245.3190500032
233,2022-09-06,992650.7771646272
234,2022-09-07,1014191.9450113069
235,2022-09-08,1015117.079624344
236,2022-09-09,1027841.8394815217
237,2022-09-12,1034622.2343484651
238,2022-09-13,994435.2468759309
239,2022-09-14,997929.9446756135
240,2022-09-15,990548.9630319368
241,2022-09-16,989817.5449868928
242,2022-09-19,998603.2168771516
243,2022-09-20,989714.9946481477
244,2022-09-21,980117.0120736848
245,2022-09-22,972524.6945993196
246,2022-09-23,954297.9981118928
247,2022-09-26,954168.9694406282
248,2022-09-27,943255.4908487092
249,2022-09-28,958701.8894693147
250,2022-09-29,937806.1490518342
251,2022-09-30,920886.5547220003
252,2022-10-03,932439.2868844758
253,2022-10-04,951851.3264047395
254,2022-10-05,946305.2366830598
255,2022-10-06,934554.1743509065
256,2022-10-07,915287.4722329866
257,2022-10-10,916014.384311844
258,2022-10-11,919280.7704965364
259,2022-10-12,923486.4314004671
260,2022-10-13,937320.3827096712
261,2022-10-14,915344.0269510042
262,2022-10-17,932760.447101761
263,2022-10-18,945116.9429361116
264,2022-10-19,938994.1396066438
265,2022-10-20,924477.1280709993
266,2022-10-21,942211.5883371126
267,2022-10-24,955480.6141702425
268,2022-10-25,971192.8243905794
269,2022-10-26,973603.0831033479
270,2022-10-27,973146.7051736604
271,2022-10-28,988794.3626901399
272,2022-10-31,982840.0435678255
273,2022-11-01,977858.7724191438
274,2022-11-02,955426.58295076
275,2022-11-03,951543.7052499544
276,2022-11-04,961916.3942147981
277,2022-11-07,966406.2790109407
278,2022-11-08,967831.9430276643
279,2022-11-09,952303.6616403352
280,2022-11-10,986909.5301400911
281,2022-11-11,992478.6810647737
282,2022-11-14,982492.8506204378
283,2022-11-15,992121.4019510042
284,2022-11-16,991522.8993112337
285,2022-11-17,988096.478717972
286,2022-11-18,996201.2010232698
287,2022-11-21,999355.5239450227
288,2022-11-22,1007689.3571664583
289,2022-11-23,1014029.153049637
290,2022-11-25,1014668.4488717805
291,2022-11-28,1010174.8969461214
292,2022-11-29,1006491.7892495882
293,2022-11-30,1030500.6497384798
294,2022-12-01,1027028.5344735872
295,2022-12-02,1030106.8297769319
296,2022-12-05,1012722.5209543001
297,2022-12-06,1003979.5877572786
298,2022-12-07,1005550.3705789339
299,2022-12-08,1012074.7478372346
300,2022-12-09,1005142.7489206087
301,2022-12-12,1013649.9893228303
302,2022-12-13,1012573.7855874788
303,2022-12-14,1010140.0338937532
304,2022-12-15,993126.2798654329
305,2022-12-16,984732.0098459016
306,2022-12-19,980252.7366220247
307,2022-12-20,976797.4779855501
308,2022-12-21,987989.446598221
309,2022-12-22,979957.8243142854
310,2022-12-23,985464.7840615999
311,2022-12-27,985091.9566690217
312,2022-12-28,973795.3484994661
313,2022-12-29,983044.9749795686
314,2022-12-30,978734.3914987337
315,2023-01-03,974519.561542679
316,2023-01-04,980868.1552469026
317,2023-01-05,971193.8844186555
318,2023-01-06,996338.4916574251
319,2023-01-09,990523.1807901155
320,2023-01-10,992663.2941171419
321,2023-01-11,999856.34025972
322,2023-01-12,994459.7413675081
323,2023-01-13,1000353.0685769807
324,2023-01-17,1001034.8610879671
325,2023-01-18,977464.2032052766
326,2023-01-19,966359.7141458284
327,2023-01-20,978055.9649392854
328,2023-01-23,984392.3434335481
329,2023-01-24,987056.7869607698
330,2023-01-25,990183.7312814485
331,2023-01-26,993050.2208139192
332,2023-01-27,997113.1652566682
333,2023-01-30,993279.7439004671
334,2023-01-31,1007323.5465890657
335,2023-02-01,1018431.0228463899
336,2023-02-02,1020790.9668313753
337,2023-02-03,1008918.0379678499
338,2023-02-06,1009394.6566201936
339,2023-02-07,1006992.0606576692
340,2023-02-08,999041.0429879915
341,2023-02-09,995353.0529672395
342,2023-02-10,998685.0400735628
343,2023-02-13,1010950.0971566926
344,2023-02-14,1007699.6002237092
345,2023-02-15,1012413.1847574007
346,2023-02-16,1000882.3581887971
347,2023-02-17,1010221.6051217805
348,2023-02-21,998035.0222665559
349,2023-02-22,998332.5420572053
350,2023-02-23,997220.9448739778
351,2023-02-24,988071.7528573762
352,2023-02-27,990614.7575876008
353,2023-02-28,984495.8398019563
354,2023-03-01,975834.9895059358
355,2023-03-02,984621.9896280061
356,2023-03-03,990984.5712930452
357,2023-03-06,990858.6558114778
358,2023-03-07,980033.0054208528
359,2023-03-08,980730.275592972
360,2023-03-09,967721.7458993684
361,2023-03-10,961658.0627328645
362,2023-03-13,965755.4399759065
363,2023-03-14,976580.6715127717
364,2023-03-15,980823.3345681917
365,2023-03-16,986075.283619095
366,2023-03-17,977408.6776162874
367,2023-03-20,988437.4143869173
368,2023-03-21,995190.7005960237
369,2023-03-22,982449.1552774202
370,2023-03-23,979384.9187509309
371,2023-03-24,990635.6665536653
372,2023-03-27,995056.1617624055
373,2023-03-28,996030.1127664339
374,2023-03-29,1005155.8731881868
375,2023-03-30,1009608.319355179
376,2023-03-31,1022873.4717447053
377,2023-04-03,1024180.2725869905
378,2023-04-04,1022236.9782144319
379,2023-04-05,1020023.9056283723
