date,a2c,dji
2021-10-01,1000000.0,1000000.0
2021-10-04,991737.9007591249,990574.6455164986
2021-10-05,996744.1935031816,999656.560502364
2021-10-06,1003219.9793779298,1002637.2466394025
2021-10-07,1011065.9443753969,1012482.5122383039
2021-10-08,1008746.8751691591,1012229.3138015111
2021-10-11,1007183.5753873598,1004940.7265304396
2021-10-12,1010139.7438901674,1001511.3386242893
2021-10-13,1013051.5202420962,1001495.8622254562
2021-10-14,1024187.5718015444,1017074.2232156451
2021-10-15,1027844.3197873842,1028208.5817997096
2021-10-18,1028108.3230222475,1027155.3900997022
2021-10-19,1027395.6634992373,1032943.9046544586
2021-10-20,1031059.2161725771,1037372.8858499513
2021-10-21,1035386.1584409487,1037190.4691784104
2021-10-22,1039369.8314298403,1039344.5335424772
2021-10-25,1047753.058701874,1041212.7397163314
2021-10-26,1050200.7678388369,1041671.0004376635
2021-10-27,1046995.4105848086,1033916.4142458431
2021-10-28,1054262.6198591006,1040901.9599721152
2021-10-29,1054556.1120084536,1043496.9879058771
2021-11-01,1062449.9548124087,1046243.5935105638
2021-11-02,1064482.84743631,1050286.8027057296
2021-11-03,1077675.3613828432,1053344.1880546326
2021-11-04,1083516.6404584658,1052372.7026367004
2021-11-05,1090038.2186139834,1058307.4464010203
2021-11-08,1078948.5480054629,1061345.0310631809
2021-11-09,1074204.3856214297,1058075.300418523
2021-11-10,1074897.3702787173,1051082.471681035
2021-11-11,1073399.9609845888,1046458.8975296255
2021-11-12,1074660.120545746,1051675.8095010067
2021-11-15,1077694.2888501894,1051301.1896116037
2021-11-16,1079243.7624524843,1052896.7380530736
2021-11-17,1080158.2393888247,1046744.9833139386
2021-11-18,1082044.6532529604,1044994.1018988858
2021-11-19,1081240.1279767763,1037158.4922072919
2021-11-22,1085712.277009369,1037661.58896642
2021-11-23,1087471.3297742617,1043329.2510538177
2021-11-24,1086164.7668088686,1043054.7725686292
2021-11-26,1066757.142358185,1016689.1339976199
2021-11-29,1074355.3512128603,1023581.821330893
2021-11-30,1051465.2665570986,1004581.241648719
2021-12-01,1041371.9541944277,991131.5682803923
2021-12-02,1053755.2943967592,1009127.8889941637
2021-12-03,1054832.7039350283,1007388.3872841356
