date,a2c,dji
2021-10-01,1000000.0,1000000.0
2021-10-04,991737.7272476236,990574.6455164986
2021-10-05,996744.196365696,999656.560502364
2021-10-06,1003219.9103506815,1002637.2466394025
2021-10-07,1011065.9516344644,1012482.5122383039
2021-10-08,1008746.7774248697,1012229.3138015111
2021-10-11,1007183.4300509073,1004940.7265304396
2021-10-12,1010139.6461306192,1001511.3386242893
2021-10-13,1013051.2986116983,1001495.8622254562
2021-10-14,1024187.4264727213,1017074.2232156451
2021-10-15,1027844.3844805338,1028208.5817997096
2021-10-18,1028108.2252703287,1027155.3900997022
2021-10-19,1027395.5181627847,1032943.9046544586
2021-10-20,1031059.1758547403,1037372.8858499513
2021-10-21,1035386.1369753458,1037190.4691784104
2021-10-22,1039369.6573763468,1039344.5335424772
2021-10-25,1047752.9609575846,1041212.7397163314
2021-10-26,1050200.7562304116,1041671.0004376635
2021-10-27,1046995.2939730264,1033916.4142458431
2021-10-28,1054262.5795412636,1040901.9599721152
2021-10-29,1054555.9666796303,1043496.9879058771
2021-11-01,1062449.7807741738,1046243.5935105638
2021-11-02,1064482.6733980752,1050286.8027057296
2021-11-03,1077675.4736605263,1053344.1880546326
2021-11-04,1083516.6189699746,1052372.7026367004
2021-11-05,1090038.1208468056,1058307.4464010203
2021-11-08,1078948.3928118325,1061345.0310631809
2021-11-09,1074204.3165865517,1058075.300418523
2021-11-10,1074897.196232853,1051082.471681035
2021-11-11,1073399.9395266152,1046458.8975296255
2021-11-12,1074660.1278048134,1051675.8095010067
2021-11-15,1077694.1435289956,1051301.1896116037
2021-11-16,1079243.740979252,1052896.7380530736
2021-11-17,1080157.9414721108,1046744.9833139386
2021-11-18,1082044.5653582192,1044994.1018988858
2021-11-19,1081240.0876589394,1037158.4922072919
2021-11-22,1085712.2079821206,1037661.58896642
2021-11-23,1087471.2607470131,1043329.2510538177
2021-11-24,1086164.7740755654,1043054.7725686292
2021-11-26,1066757.044606266,1016689.1339976199
2021-11-29,1074355.4159060097,1023581.821330893
2021-11-30,1051465.1975222207,1004581.241648719
2021-12-01,1041371.8564425089,991131.5682803923
2021-12-02,1053755.206502018,1009127.8889941637
2021-12-03,1054832.6061831093,1007388.3872841356
2021-12-06,1071113.77200037,1026235.4547455304
2021-12-07,1081377.1874437905,1040580.0281169752
2021-12-08,1080140.8152437783,1041608.9810452805
2021-12-09,1075398.9846697426,1041607.2740895269
2021-12-10,1089798.3640337563,1047908.4443556322
2021-12-13,1089288.0939074135,1038585.0520291493
2021-12-14,1087615.7936220742,1035474.6372548327
