date,ddpg,dji
2021-10-01,1000000.0,1000000.0
2021-10-04,991737.8036903383,990574.6455164986
2021-10-05,996744.318004944,999656.560502364
2021-10-06,1003220.0524854586,1002637.2466394025
2021-10-07,1011065.9887735139,1012482.5122383039
2021-10-08,1008746.9482843172,1012229.3138015111
2021-10-11,1007183.5722009431,1004940.7265304396
2021-10-12,1010139.788280655,1001511.3386242893
2021-10-13,1013051.4883386384,1001495.8622254562
2021-10-14,1024187.644909073,1017074.2232156451
2021-10-15,1027844.4979135286,1028208.5817997096
2021-10-18,1028108.5487176668,1027155.3900997022
2021-10-19,1027395.6603128206,1032943.9046544586
2021-10-20,1031059.2892877351,1037372.8858499513
2021-10-21,1035386.3078347932,1037190.4691784104
2021-10-22,1039369.7232248079,1039344.5335424772
2021-10-25,1047753.1030923616,1041212.7397163314
2021-10-26,1050200.9172250521,1041671.0004376635
2021-10-27,1046995.4361154329,1033916.4142458431
2021-10-28,1054262.7216912997,1040901.9599721152
2021-10-29,1054556.108822037,1043496.9879058771
2021-11-01,1062449.922908951,1046243.5935105638
2021-11-02,1064482.8442575228,1050286.8027057296
2021-11-03,1077675.3581964266,1053344.1880546326
2021-11-04,1083516.818561722,1052372.7026367004
2021-11-05,1090038.1867105258,1058307.4464010203
2021-11-08,1078948.6686822665,1061345.0310631809
2021-11-09,1074204.48743837,1058075.300418523
2021-11-10,1074897.443386246,1051082.471681035
2021-11-11,1073400.1103860629,1046458.8975296255
2021-11-12,1074660.2412225497,1051675.8095010067
2021-11-15,1077694.3143808139,1051301.1896116037
2021-11-16,1079243.8068277133,1052896.7380530736
2021-11-17,1080158.4175073397,1046744.9833139386
2021-11-18,1082044.7550775302,1044994.1018988858
2021-11-19,1081240.1247979891,1037158.4922072919
2021-11-22,1085712.3977014315,1037661.58896642
2021-11-23,1087471.4316140902,1043329.2510538177
2021-11-24,1086164.916217972,1043054.7725686292
2021-11-26,1066757.1580316317,1016689.1339976199
2021-11-29,1074355.481754471,1023581.821330893
2021-11-30,1051465.3396722567,1004581.241648719
2021-12-01,1041372.1511728059,991131.5682803923
2021-12-02,1053755.396221329,1009127.8889941637
2021-12-03,1054832.748325516,1007388.3872841356
2021-12-06,1071113.9904443515,1026235.4547455304
