,account_value,date,daily_return,datadate
0,1000000.0,2022-01-03,,2020-10-30
1,999914.1467918396,2022-01-04,-8.585320816045794e-05,2020-11-02
2,998383.6369163512,2022-01-05,-0.0015306412859531,2020-11-03
3,997147.9032638548,2022-01-06,-0.0012377342804947,2020-11-04
4,996398.8717735288,2022-01-07,-0.0007511739109858,2020-11-05
5,995485.6258354184,2022-01-10,-0.0009165465397255,2020-11-06
6,997752.2008842464,2022-01-11,0.0022768536179775,2020-11-09
7,998977.5575172422,2022-01-12,0.0012281171937378,2020-11-10
8,993815.4994277952,2022-01-13,-0.0051673413988159,2020-11-11
9,993268.6142295836,2022-01-14,-0.0005502884574918,2020-11-12
10,983259.9847595214,2022-01-18,-0.0100764579960328,2020-11-13
11,979512.4062156676,2022-01-19,-0.003811381121922,2020-11-16
12,972510.6698265076,2022-01-20,-0.0071481855101879,2020-11-17
13,962839.799758148,2022-01-21,-0.0099442302983521,2020-11-18
14,962935.238253784,2022-01-24,9.91218847206099e-05,2020-11-19
15,951034.7481521606,2022-01-25,-0.0123585570751405,2020-11-20
16,946891.9131233214,2022-01-26,-0.0043561342389314,2020-11-23
17,946481.1226221464,2022-01-27,-0.000433830403958,2020-11-24
18,965433.9513409575,2022-01-28,0.020024518467208,2020-11-25
19,978981.8594706496,2022-01-31,0.0140329725413888,2020-11-27
20,982469.5225084608,2022-02-01,0.0035625410257316,2020-11-30
21,991856.6006676864,2022-02-02,0.0095545744108764,2020-12-01
22,978226.3451476364,2022-02-03,-0.0137421634446699,2020-12-02
23,971776.4181245192,2022-02-04,-0.0065934914297811,2020-12-03
24,969429.1725524748,2022-02-07,-0.0024154172999735,2020-12-04
25,977696.2170245436,2022-02-08,0.0085277446832985,2020-12-07
26,989815.2881564328,2022-02-09,0.0123955385331975,2020-12-08
27,972008.4889651946,2022-02-10,-0.0179900223852919,2020-12-09
28,958280.3151314544,2022-02-11,-0.014123512283679,2020-12-10
29,953876.4435058896,2022-02-14,-0.004595598548803,2020-12-11
30,964954.6745568007,2022-02-15,0.0116139056859334,2020-12-14
31,967323.778853897,2022-02-16,0.0024551456763337,2020-12-15
32,956072.1092951354,2022-02-17,-0.0116317512344138,2020-12-16
33,952071.4302743834,2022-02-18,-0.004184495062513,2020-12-17
34,944584.3791360472,2022-02-22,-0.0078639594680185,2020-12-18
35,928893.029038391,2022-02-23,-0.0166119093690795,2020-12-21
36,936280.4192056272,2022-02-24,0.0079528965513757,2020-12-22
37,935344.148801422,2022-02-25,-0.0009999893034178,2020-12-23
38,935077.5165122986,2022-02-28,-0.000285063299391,2020-12-24
39,933410.009389496,2022-03-01,-0.0017832822342068,2020-12-28
40,936487.967264557,2022-03-02,0.0032975411063722,2020-12-29
41,936739.9788002016,2022-03-03,0.0002691028015882,2020-12-30
42,936174.8431755068,2022-03-04,-0.0006033004221925,2020-12-31
43,928002.231880188,2022-03-07,-0.008729791614136,2021-01-04
44,927652.5701568606,2022-03-08,-0.0003767897439417,2021-01-05
45,928800.71992569,2022-03-09,0.0012376937290596,2021-01-06
46,928191.707726288,2022-03-10,-0.0006556973808661,2021-01-07
