date,dji
2022-01-03,1000000.0
2022-01-04,1005865.5049902436
2022-01-05,995136.0138376162
2022-01-06,990471.7975821542
2022-01-07,990340.3615824638
2022-01-10,985890.7565044003
2022-01-11,990896.8558394794
2022-01-12,991943.7526526102
2022-01-13,987113.9334438421
2022-01-14,981597.6787825888
2022-01-18,966746.2649914182
2022-01-19,957457.7651075325
2022-01-20,948895.3129879801
2022-01-21,936594.6758276811
2022-01-24,939304.2220211355
2022-01-25,937479.1728394073
2022-01-26,933935.63266254
2022-01-27,933735.8627556182
2022-01-28,949170.7840515067
2022-01-31,960278.8877588881
2022-02-01,967751.3072863698
2022-02-02,973876.4811240927
2022-02-03,959713.1043613582
2022-02-04,959127.5681937693
2022-02-07,959165.5789296668
2022-02-08,969324.1616417221
2022-02-09,977668.4791167842
2022-02-10,963278.2124276955
2022-02-11,949514.9093374547
2022-02-14,944816.6329001071
2022-02-15,956369.6544066027
2022-02-16,954878.0533378178
2022-02-17,937870.0641431168
2022-02-18,931505.4013148939
2022-02-22,918315.0353280962
2022-02-23,905609.092680531
2022-02-24,908125.5955860567
2022-02-25,930946.9851667373
2022-02-28,926405.5564008318
2022-03-01,910069.5884750595
2022-03-02,926371.3894472161
2022-03-03,923728.4688133122
2022-03-04,918812.2712749346
2022-03-07,897015.8903027246
2022-03-08,891966.3348735155
2022-03-09,909831.8078322402
2022-03-10,906765.5372886921
2022-03-11,900482.1277470364
2022-03-14,900510.7425706895
2022-03-15,916886.32280831
2022-03-16,931065.9288740121
2022-03-17,942482.0690225849
2022-03-18,949976.0564395365
2022-03-21,944456.2783111915
2022-03-22,951411.9226652359
2022-03-23,939140.2206437801
2022-03-24,948691.6992987766
2022-03-25,952881.849072821
2022-03-28,955469.0348636392
2022-03-29,964716.0005445358
2022-03-30,962928.855326975
2022-03-31,947882.9034436552
2022-04-01,951707.3600422817
2022-04-04,954539.3734101022
2022-04-05,946866.8636605087
2022-04-06,942912.5726381426
2022-04-07,945292.1941857454
2022-04-08,949051.947115962
2022-04-11,937762.0111523072
2022-04-12,935364.345182326
2022-04-13,944773.3903494372
2022-04-14,941674.8747434141
2022-04-18,940594.1312918579
2022-04-19,954247.4595001481
2022-04-20,961069.6391916312
2022-04-21,951010.1406450614
2022-04-22,924185.9856765724
2022-04-25,930693.0819926808
2022-04-26,908572.5420480419
2022-04-27,910260.389556657
2022-04-28,927055.7962368303
2022-04-29,901384.669181141
2022-05-02,903688.589572139
2022-05-03,905527.8393939637
2022-05-04,931010.0872591964
2022-05-05,901952.0541546214
2022-05-06,899257.0289164537
2022-05-09,881389.8476100483
2022-05-10,879067.6158673469
2022-05-11,870139.6307299716
2022-05-12,867302.1720039186
2022-05-13,880049.4353110127
2022-05-16,880780.8750477136
2022-05-17,892566.2852246611
2022-05-18,860735.817377633
2022-05-19,854259.4179339136
2022-05-20,854499.1204678736
2022-05-23,871400.5514759857
2022-05-24,872722.919352643
2022-05-25,877961.6742874989
2022-05-26,892090.6705531576
2022-05-27,907828.5566330603
2022-05-31,901737.549748953
2022-06-01,896902.4987254125
2022-06-02,908793.9866161636
2022-06-03,899265.9977417779
2022-06-06,899705.5769543898
2022-06-07,906931.4605571884
2022-06-08,899572.1122918285
2022-06-09,882130.3095579384
2022-06-10,858076.7742124917
2022-06-13,834131.2384719898
2022-06-14,829978.9926621128
2022-06-15,838280.1743582352
2022-06-16,818013.4585765727
2022-06-17,816966.8286927671
2022-06-21,834500.5085003644
2022-06-22,833212.5745066479
2022-06-23,838521.531854011
2022-06-24,861025.8093964461
2022-06-27,859319.6505361276
