date,ensemble
2022-01-03,1000000.0
2022-01-04,999654.423097992
2022-01-05,999592.8029647828
2022-01-06,999289.799571228
2022-01-07,998118.5642601012
2022-01-10,997760.318141174
2022-01-11,999907.032276916
2022-01-12,1000862.7682373044
2022-01-13,994712.3394424432
2022-01-14,994383.274806976
2022-01-18,985828.395759582
2022-01-19,979174.0247848508
2022-01-20,971555.4178588864
2022-01-21,959764.150157928
2022-01-24,963398.216060638
2022-01-25,952456.89438858
2022-01-26,950311.6271942134
2022-01-27,941479.263363647
2022-01-28,963021.7652488704
2022-01-31,962131.956459808
2022-02-01,962396.6981582636
2022-02-02,962865.1122482296
2022-02-03,959081.0189750668
2022-02-04,960676.7659423824
2022-02-07,960450.3259887692
2022-02-08,961045.6068321224
2022-02-09,962650.093881988
2022-02-10,959251.657392883
2022-02-11,953847.5877304076
2022-02-14,953625.6455856322
2022-02-15,954658.9249084472
2022-02-16,954817.8466453552
2022-02-17,950725.9786010742
2022-02-18,950560.17602005
2022-02-22,949724.5939521788
2022-02-23,947298.9524879454
2022-02-24,950382.5099731444
2022-02-25,950220.7846862793
2022-02-28,950220.7846862793
2022-03-01,950220.7846862793
2022-03-02,950220.7846862793
2022-03-03,949661.6141563414
2022-03-04,948619.772478485
2022-03-07,948510.9224815367
2022-03-08,948510.9224815367
2022-03-09,948510.9224815367
2022-03-10,948510.9224815367
2022-03-11,948510.9224815367
2022-03-14,948041.7168777466
2022-03-15,947989.339276123
2022-03-16,947989.339276123
2022-03-17,948661.5885360716
2022-03-18,950198.986438751
2022-03-21,949641.670637512
2022-03-22,952459.6247253416
2022-03-23,948396.3304214476
2022-03-24,952956.9040496824
2022-03-25,953486.6209037778
2022-03-28,959579.2315185544
2022-03-29,967019.8008186338
2022-03-30,962079.8753829952
2022-03-31,952303.1371826167
2022-04-01,952292.0079658504
2022-04-04,959286.7467353818
2022-04-05,949421.3652618404
2022-04-06,942546.6813491818
2022-04-07,941935.2567367548
2022-04-08,942021.1940132136
2022-04-11,941647.9680335994
2022-04-12,941601.0661140436
2022-04-13,941732.1007286068
2022-04-14,941653.9621185296
2022-04-18,941346.6233116144
2022-04-19,942298.9654151913
2022-04-20,943426.348130798
2022-04-21,941765.0110855098
2022-04-22,937766.1326004023
2022-04-25,937604.090568542
2022-04-26,937262.422525024
2022-04-27,937469.4678146358
2022-04-28,938410.888389587
2022-04-29,936024.1928749082
2022-05-02,935933.643912506
2022-05-03,936008.2605339048
2022-05-04,937163.2305351256
2022-05-05,935697.7112686156
2022-05-06,935447.16712265
2022-05-09,933852.3447761532
2022-05-10,933740.9617385862
2022-05-11,933739.9131225584
2022-05-12,933546.1646301268
2022-05-13,933502.110154724
2022-05-16,933520.228159332
2022-05-17,933990.7600822446
2022-05-18,933945.5064308164
2022-05-19,933945.5064308164
2022-05-20,933945.5064308164
2022-05-23,934294.5863800046
2022-05-24,934686.5961196896
2022-05-25,934763.5397811888
2022-05-26,935722.7501541136
2022-05-27,937646.607710266
2022-05-31,935939.537031555
2022-06-01,934593.73946228
2022-06-02,937612.1049026486
2022-06-03,935880.514424896
2022-06-06,937001.6345520016
2022-06-07,938544.0079399104
2022-06-08,933631.7537147516
2022-06-09,927432.6625137324
2022-06-10,922738.0190551752
2022-06-13,911079.3981315608
2022-06-14,910764.5623199458
2022-06-15,910790.0913646691
2022-06-16,909872.1236492152
2022-06-17,909831.5587215418
2022-06-21,910218.0582000726
2022-06-22,910197.4645908348
2022-06-23,910360.9858989707
2022-06-24,910340.2410938255
2022-06-27,910292.1253856652
2022-06-28,909872.7215091698
2022-06-29,909839.2398212424
2022-06-30,909791.9339977256
2022-07-01,911366.6836879724
2022-07-05,908769.0942607874
2022-07-06,909581.2173686976
2022-07-07,910384.6133041376
2022-07-08,909492.2701698296
2022-07-11,908870.5473943704
2022-07-12,907712.475094604
2022-07-13,906535.7824644084
2022-07-14,903613.9537097926
2022-07-15,907672.911726379
2022-07-18,907608.2242359156
2022-07-19,917345.661615562
2022-07-20,918219.506527328
2022-07-21,919890.9047214504
2022-07-22,918502.8603000636
2022-07-25,923788.5615852352
2022-07-26,920219.1624599452
2022-07-27,928234.4503087992
2022-07-28,937656.740167808
2022-07-29,947970.2770895
2022-08-01,947283.4323514932
2022-08-02,946959.8535360332
2022-08-03,946886.5175268168
2022-08-04,945995.7916978828
2022-08-05,946699.3861726752
2022-08-08,947013.7252557748
