date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,999654.423097992,1005865.5049902436
2022-01-05,999592.8029647828,995136.0138376162
2022-01-06,999289.799571228,990471.7975821542
2022-01-07,998118.5642601012,990340.3615824638
2022-01-10,997760.318141174,985890.7565044003
2022-01-11,999907.032276916,990896.8558394794
2022-01-12,1000862.7682373044,991943.7526526102
2022-01-13,994712.3394424432,987113.9334438421
2022-01-14,994383.274806976,981597.6787825888
2022-01-18,985828.395759582,966746.2649914182
2022-01-19,979174.0247848508,957457.7651075325
2022-01-20,971555.4178588864,948895.3129879801
2022-01-21,959764.150157928,936594.6758276811
2022-01-24,963398.216060638,939304.2220211355
2022-01-25,952456.89438858,937479.1728394073
2022-01-26,950311.6271942134,933935.63266254
2022-01-27,941479.263363647,933735.8627556182
2022-01-28,963021.7652488704,949170.7840515067
2022-01-31,962131.956459808,960278.8877588881
2022-02-01,962396.6981582636,967751.3072863698
2022-02-02,962865.1122482296,973876.4811240927
2022-02-03,959081.0189750668,959713.1043613582
2022-02-04,960676.7659423824,959127.5681937693
2022-02-07,960450.3259887692,959165.5789296668
2022-02-08,961045.6068321224,969324.1616417221
2022-02-09,962650.093881988,977668.4791167842
2022-02-10,959251.657392883,963278.2124276955
2022-02-11,953847.5877304076,949514.9093374547
2022-02-14,953625.6455856322,944816.6329001071
2022-02-15,954658.9249084472,956369.6544066027
2022-02-16,954817.8466453552,954878.0533378178
2022-02-17,950725.9786010742,937870.0641431168
2022-02-18,950560.17602005,931505.4013148939
2022-02-22,949724.5939521788,918315.0353280962
2022-02-23,947298.9524879454,905609.092680531
2022-02-24,950382.5099731444,908125.5955860567
2022-02-25,950220.7846862793,930946.9851667373
2022-02-28,950220.7846862793,926405.5564008318
2022-03-01,950220.7846862793,910069.5884750595
2022-03-02,950220.7846862793,926371.3894472161
2022-03-03,949661.6141563414,923728.4688133122
2022-03-04,948619.772478485,918812.2712749346
2022-03-07,948510.9224815367,897015.8903027246
2022-03-08,948510.9224815367,891966.3348735155
2022-03-09,948510.9224815367,909831.8078322402
2022-03-10,948510.9224815367,906765.5372886921
2022-03-11,948510.9224815367,900482.1277470364
2022-03-14,948041.7168777466,900510.7425706895
2022-03-15,947989.339276123,916886.32280831
2022-03-16,947989.339276123,931065.9288740121
2022-03-17,948661.5885360716,942482.0690225849
2022-03-18,950198.986438751,949976.0564395365
2022-03-21,949641.670637512,944456.2783111915
2022-03-22,952459.6247253416,951411.9226652359
2022-03-23,948396.3304214476,939140.2206437801
2022-03-24,952956.9040496824,948691.6992987766
2022-03-25,953486.6209037778,952881.849072821
2022-03-28,959579.2315185544,955469.0348636392
2022-03-29,967019.8008186338,964716.0005445358
2022-03-30,962079.8753829952,962928.855326975
2022-03-31,952303.1371826167,947882.9034436552
2022-04-01,952292.0079658504,951707.3600422817
2022-04-04,959286.7467353818,954539.3734101022
2022-04-05,949421.3652618404,946866.8636605087
2022-04-06,942546.6813491818,942912.5726381426
2022-04-07,941935.2567367548,945292.1941857454
2022-04-08,942021.1940132136,949051.947115962
2022-04-11,941647.9680335994,937762.0111523072
2022-04-12,941601.0661140436,935364.345182326
2022-04-13,941732.1007286068,944773.3903494372
2022-04-14,941653.9621185296,941674.8747434141
2022-04-18,941346.6233116144,940594.1312918579
2022-04-19,942298.9654151913,954247.4595001481
2022-04-20,943426.348130798,961069.6391916312
2022-04-21,941765.0110855098,951010.1406450614
2022-04-22,937766.1326004023,924185.9856765724
2022-04-25,937604.090568542,930693.0819926808
