date,ensemble
2022-01-03,1000000.0
2022-01-04,999652.2932769776
2022-01-05,999614.5519714355
2022-01-06,999388.53397789
2022-01-07,999043.01628685
2022-01-10,998746.8954467772
2022-01-11,1000334.48024559
2022-01-12,1001102.1469413756
2022-01-13,998324.2912101748
2022-01-14,998516.1065338136
2022-01-18,995883.9336688996
2022-01-19,993998.7978359225
2022-01-20,991678.9178173068
2022-01-21,988755.1990150454
2022-01-24,989658.971683884
2022-01-25,986081.1014141086
2022-01-26,984845.4356899264
2022-01-27,983708.750622559
2022-01-28,988235.8788970952
2022-01-31,988003.257653046
2022-02-01,988128.2448448184
2022-02-02,988407.5707420354
2022-02-03,986351.600634766
2022-02-04,986407.665679932
2022-02-07,986359.948226166
2022-02-08,986708.7161392214
2022-02-09,987433.9249992372
2022-02-10,986105.4632011416
2022-02-11,985333.2350753786
2022-02-14,985253.6476829528
2022-02-15,985868.3698493958
2022-02-16,986012.7615829468
2022-02-17,984559.0340019228
2022-02-18,984479.68049469
2022-02-22,983559.2341651918
2022-02-23,981827.0179435732
2022-02-24,981982.2017478944
2022-02-25,981912.6965751648
2022-02-28,981912.6965751648
2022-03-01,981912.6965751648
2022-03-02,981912.6965751648
2022-03-03,981351.4749145508
2022-03-04,980259.2943740846
2022-03-07,980173.17762146
2022-03-08,980173.17762146
2022-03-09,980173.17762146
2022-03-10,980173.17762146
2022-03-11,980173.17762146
2022-03-14,979703.9750686644
2022-03-15,979651.5974632262
2022-03-16,979651.5974632262
2022-03-17,980473.7409416196
2022-03-18,981762.5166336056
2022-03-21,981221.8320083616
2022-03-22,983908.5948486323
2022-03-23,981485.8601112362
2022-03-24,983938.5845046996
2022-03-25,984651.5274887084
2022-03-28,986406.7128036496
2022-03-29,988356.8410392756
2022-03-30,987620.8922233576
2022-03-31,986088.6899429314
2022-04-01,987048.77259674
2022-04-04,986355.5001968376
2022-04-05,985697.2672236164
2022-04-06,986973.3594370566
2022-04-07,986813.433471038
2022-04-08,986828.51062329
2022-04-11,984489.1516248008
2022-04-12,984360.090684249
2022-04-13,984807.6062276145
2022-04-14,983880.4709714192
2022-04-18,983931.1891400594
2022-04-19,985539.8222798604
2022-04-20,985719.0743272085
2022-04-21,984089.2768056171
2022-04-22,981485.46139157
2022-04-25,981385.8796044608
2022-04-26,980830.833258178
2022-04-27,981139.4323506614
2022-04-28,982161.5421738884
2022-04-29,980170.5266392966
2022-05-02,980106.221642806
2022-05-03,980123.9808953544
2022-05-04,982196.6700619954
2022-05-05,977666.052376662
2022-05-06,976751.0734312884
2022-05-09,973459.7580176226
2022-05-10,973365.9019102922
2022-05-11,972783.0741259448
2022-05-12,972670.3696219316
2022-05-13,972614.3691595905
2022-05-16,972089.2038584584
2022-05-17,972670.2620936268
2022-05-18,972626.53487271
2022-05-19,972626.53487271
2022-05-20,972626.53487271
2022-05-23,973707.4528635854
2022-05-24,973435.31433438
2022-05-25,974823.8238295432
2022-05-26,977658.409175002
2022-05-27,982052.339581954
2022-05-31,980592.574915206
2022-06-01,980501.0403395531
2022-06-02,982899.5463049768
