date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,999652.2932769776,1005865.5049902436
2022-01-05,999614.5519714355,995136.0138376162
2022-01-06,999388.53397789,990471.7975821542
2022-01-07,999043.01628685,990340.3615824638
2022-01-10,998746.8954467772,985890.7565044003
2022-01-11,1000334.48024559,990896.8558394794
2022-01-12,1001102.1469413756,991943.7526526102
2022-01-13,998324.2912101748,987113.9334438421
2022-01-14,998516.1065338136,981597.6787825888
2022-01-18,995883.9336688996,966746.2649914182
2022-01-19,993998.7978359225,957457.7651075325
2022-01-20,991678.9178173068,948895.3129879801
2022-01-21,988755.1990150454,936594.6758276811
2022-01-24,989658.971683884,939304.2220211355
2022-01-25,986081.1014141086,937479.1728394073
2022-01-26,984845.4356899264,933935.63266254
2022-01-27,983708.750622559,933735.8627556182
2022-01-28,988235.8788970952,949170.7840515067
2022-01-31,988003.257653046,960278.8877588881
2022-02-01,988128.2448448184,967751.3072863698
2022-02-02,988407.5707420354,973876.4811240927
2022-02-03,986351.600634766,959713.1043613582
2022-02-04,986407.665679932,959127.5681937693
2022-02-07,986359.948226166,959165.5789296668
2022-02-08,986708.7161392214,969324.1616417221
2022-02-09,987433.9249992372,977668.4791167842
2022-02-10,986105.4632011416,963278.2124276955
2022-02-11,985333.2350753786,949514.9093374547
2022-02-14,985253.6476829528,944816.6329001071
2022-02-15,985868.3698493958,956369.6544066027
2022-02-16,986012.7615829468,954878.0533378178
2022-02-17,984559.0340019228,937870.0641431168
2022-02-18,984479.68049469,931505.4013148939
2022-02-22,983559.2341651918,918315.0353280962
2022-02-23,981827.0179435732,905609.092680531
2022-02-24,981982.2017478944,908125.5955860567
2022-02-25,981912.6965751648,930946.9851667373
2022-02-28,981912.6965751648,926405.5564008318
2022-03-01,981912.6965751648,910069.5884750595
2022-03-02,981912.6965751648,926371.3894472161
2022-03-03,981351.4749145508,923728.4688133122
2022-03-04,980259.2943740846,918812.2712749346
2022-03-07,980173.17762146,897015.8903027246
2022-03-08,980173.17762146,891966.3348735155
2022-03-09,980173.17762146,909831.8078322402
2022-03-10,980173.17762146,906765.5372886921
2022-03-11,980173.17762146,900482.1277470364
2022-03-14,979703.9750686644,900510.7425706895
2022-03-15,979651.5974632262,916886.32280831
2022-03-16,979651.5974632262,931065.9288740121
2022-03-17,980473.7409416196,942482.0690225849
2022-03-18,981762.5166336056,949976.0564395365
2022-03-21,981221.8320083616,944456.2783111915
2022-03-22,983908.5948486323,951411.9226652359
2022-03-23,981485.8601112362,939140.2206437801
2022-03-24,983938.5845046996,948691.6992987766
2022-03-25,984651.5274887084,952881.849072821
2022-03-28,986406.7128036496,955469.0348636392
2022-03-29,988356.8410392756,964716.0005445358
2022-03-30,987620.8922233576,962928.855326975
2022-03-31,986088.6899429314,947882.9034436552
2022-04-01,987048.77259674,951707.3600422817
2022-04-04,986355.5001968376,954539.3734101022
2022-04-05,985697.2672236164,946866.8636605087
2022-04-06,986973.3594370566,942912.5726381426
2022-04-07,986813.433471038,945292.1941857454
2022-04-08,986828.51062329,949051.947115962
2022-04-11,984489.1516248008,937762.0111523072
2022-04-12,984360.090684249,935364.345182326
2022-04-13,984807.6062276145,944773.3903494372
2022-04-14,983880.4709714192,941674.8747434141
2022-04-18,983931.1891400594,940594.1312918579
2022-04-19,985539.8222798604,954247.4595001481
2022-04-20,985719.0743272085,961069.6391916312
2022-04-21,984089.2768056171,951010.1406450614
2022-04-22,981485.46139157,924185.9856765724
2022-04-25,981385.8796044608,930693.0819926808
2022-04-26,980830.833258178,908572.5420480419
2022-04-27,981139.4323506614,910260.389556657
2022-04-28,982161.5421738884,927055.7962368303
2022-04-29,980170.5266392966,901384.669181141
2022-05-02,980106.221642806,903688.589572139
2022-05-03,980123.9808953544,905527.8393939637
2022-05-04,982196.6700619954,931010.0872591964
2022-05-05,977666.052376662,901952.0541546214
2022-05-06,976751.0734312884,899257.0289164537
2022-05-09,973459.7580176226,881389.8476100483
2022-05-10,973365.9019102922,879067.6158673469
2022-05-11,972783.0741259448,870139.6307299716
2022-05-12,972670.3696219316,867302.1720039186
2022-05-13,972614.3691595905,880049.4353110127
2022-05-16,972089.2038584584,880780.8750477136
2022-05-17,972670.2620936268,892566.2852246611
2022-05-18,972626.53487271,860735.817377633
2022-05-19,972626.53487271,854259.4179339136
2022-05-20,972626.53487271,854499.1204678736
2022-05-23,973707.4528635854,871400.5514759857
2022-05-24,973435.31433438,872722.919352643
2022-05-25,974823.8238295432,877961.6742874989
2022-05-26,977658.409175002,892090.6705531576
2022-05-27,982052.339581954,907828.5566330603
2022-05-31,980592.574915206,901737.549748953
2022-06-01,980501.0403395531,896902.4987254125
2022-06-02,982899.5463049768,908793.9866161636
2022-06-03,979936.7993422386,899265.9977417779
2022-06-06,980192.3176936026,899705.5769543898
2022-06-07,981903.3192602989,906931.4605571884
2022-06-08,979058.8159644004,899572.1122918285
2022-06-09,973957.5647581016,882130.3095579384
2022-06-10,967520.0206113732,858076.7742124917
2022-06-13,958366.6086025154,834131.2384719898
2022-06-14,958153.430062194,829978.9926621128
2022-06-15,958327.9359047844,838280.1743582352
2022-06-16,956211.6762673332,818013.4585765727
2022-06-17,956161.1227776484,816966.8286927671
2022-06-21,957566.375268718,834500.5085003644
2022-06-22,957513.353376304,833212.5745066479
2022-06-23,957526.4743332972,838521.531854011
2022-06-24,957487.5999493708,861025.8093964461
2022-06-27,957226.1252446284,859319.6505361276
2022-06-28,954725.5012330164,845891.5039065107
2022-06-29,954734.7904175865,848141.611345564
2022-06-30,953762.8716183768,841202.142908622
2022-07-01,955267.771296035,849998.905589767
2022-07-05,955282.227256881,846460.8641569972
2022-07-06,955620.360687362,848370.369777194
2022-07-07,957695.6367968208,857851.5926338184
2022-07-08,957682.4700226428,856583.304638431
2022-07-11,954638.1043467164,852092.1119715134
2022-07-12,952248.7316354588,846830.1341853718
2022-07-13,952164.3340977238,841129.965219109
2022-07-14,952723.7915498036,837231.6759691536
2022-07-15,958939.5140475072,855219.6161022446
2022-07-18,955671.5682194968,849325.1225872926
2022-07-19,967044.4019271994,869946.694213773
2022-07-20,970961.989510871,871252.9395591929
2022-07-21,980133.1335494224,875682.6317096023
2022-07-22,975789.1229028616,871921.2238175699
2022-07-25,973541.3604501945,874401.744650069
2022-07-26,963148.0150175923,868156.0255291206
2022-07-27,983497.0331442024,880074.8469827644
2022-07-28,993597.7256700278,889150.7109662574
2022-07-29,1008394.7013898536,897774.3966729929
2022-08-01,1007588.6998839332,896497.0864664163
2022-08-02,1007268.706392295,885502.7480374022
2022-08-03,1009038.8213225164,896882.5324118934
2022-08-04,1009198.9109983282,894540.6012849978
2022-08-05,1007871.6580411748,896635.6761720199
2022-08-08,1007721.0959463492,897430.2713870449
2022-08-09,1004997.826349677,895841.4012721851
2022-08-10,1011797.0485163336,910467.6334846823
2022-08-11,1009950.0730854408,911210.0173237132
2022-08-12,1017356.6966268682,922809.8048479704
2022-08-15,1020065.0884422064,926947.8500177509
2022-08-16,1021261.5371381596,933496.1602216582
2022-08-17,1016780.3941770392,928803.2223708129
2022-08-18,1017044.8260151128,929314.8725012079
2022-08-19,1008441.829754714,921325.2507133685
2022-08-22,992130.5487708502,903746.2463063655
2022-08-23,989361.1322989722,899536.3437622621
2022-08-24,991000.4879265357,901166.5345366508
2022-08-25,1001659.3440478354,909982.9966019897
2022-08-26,970174.959260848,882420.3549626165
2022-08-29,962995.5483938742,877379.7683587316
2022-08-30,954211.6942329664,868957.7210641939
2022-08-31,946144.210529048,861292.3116346485
2022-09-01,952257.0305671722,865282.7448876362
2022-09-02,951309.741945819,856044.5344886034
2022-09-06,951173.0596609908,851312.037711775
2022-09-07,953316.1959173612,863228.8838884128
2022-09-08,953219.7029570418,868510.8279880736
2022-09-09,953865.4097510404,878820.8130133385
2022-09-12,954988.0972472258,885097.389164271
2022-09-13,947890.7815884736,850209.6729848838
2022-09-14,948905.8146029311,851032.9364094269
2022-09-15,946704.9881542618,846296.8627796419
2022-09-16,946464.5398622468,842486.5534352469
2022-09-19,946808.1289309266,847878.3656451281
2022-09-20,945729.6211050826,839310.6817108035
2022-09-21,943137.1690974532,825030.2297460701
2022-09-22,941320.7003256942,822102.8158374507
2022-09-23,938138.2889708969,808811.3370222966
2022-09-26,936301.4714595596,799802.2053700841
2022-09-27,936314.2384210768,796363.0879452047
2022-09-28,942589.7373352844,811362.3805824933
2022-09-29,933510.015834842,798840.0319247473
2022-09-30,933139.7998957932,785170.5277993546
2022-10-03,933787.7583619492,806091.1136558373
2022-10-04,935031.1080781356,828653.047932499
