,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,999882.538607788
2,2021-10-05,1000200.3354976653
3,2021-10-06,1000192.143943405
4,2021-10-07,1001517.4644809722
5,2021-10-08,1001953.5295021055
6,2021-10-11,1001146.2386821746
7,2021-10-12,1002063.5087562561
8,2021-10-13,1002538.4839176178
9,2021-10-14,1005355.2279190064
10,2021-10-15,1008954.9670211793
11,2021-10-18,1011481.3255268098
12,2021-10-19,1011991.5712554932
13,2021-10-20,1012753.5734313965
14,2021-10-21,1014951.9284095764
15,2021-10-22,1015467.8649868012
16,2021-10-25,1024158.032862854
17,2021-10-26,1024765.5574466705
18,2021-10-27,1021509.7541923523
19,2021-10-28,1028025.2132808685
20,2021-10-29,1028005.5150131225
21,2021-11-01,1037579.9900913239
22,2021-11-02,1033648.9415599823
23,2021-11-03,1041218.0894454955
24,2021-11-04,1046733.2509571074
25,2021-11-05,1051817.2888721465
26,2021-11-08,1045963.0824508666
27,2021-11-09,1035723.6527229308
28,2021-11-10,1029351.671516037
29,2021-11-11,1028652.1328609466
30,2021-11-12,1030502.6966648102
31,2021-11-15,1031336.5149932861
32,2021-11-16,1041567.9842361449
33,2021-11-17,1041634.5305496216
34,2021-11-18,1047777.1386302947
35,2021-11-19,1042210.8769376525
36,2021-11-22,1045315.0027017822
37,2021-11-23,1047476.0387819214
38,2021-11-24,1050278.113502449
39,2021-11-26,1018769.4708909454
40,2021-11-29,1030854.9925536193
41,2021-11-30,1013739.1819464797
42,2021-12-01,998137.6537139053
43,2021-12-02,1016340.8994870452
44,2021-12-03,1000242.1153199462
45,2021-12-06,1012830.4952111816
46,2021-12-07,1034432.6572831726
47,2021-12-08,1035465.437268341
48,2021-12-09,1022008.0948065643
49,2021-12-10,1029074.351314476
50,2021-12-13,1006719.0236396103
51,2021-12-14,1002701.7370265427
52,2021-12-15,1011524.0759776535
53,2021-12-16,998673.4061070174
54,2021-12-17,987854.3545269698
55,2021-12-20,973422.0969869308
56,2021-12-21,995507.0215470962
57,2021-12-22,1009828.8743727722
58,2021-12-23,1019958.8858939209
59,2021-12-27,1031518.8190766716
60,2021-12-28,1032352.7026021385
61,2021-12-29,1033376.0803597984
62,2021-12-30,1029611.9028066215
63,2021-12-31,1028836.2095704193
64,2022-01-03,1053124.8586311187
65,2022-01-04,1055472.7144082948
66,2022-01-05,1035199.8740471497
67,2022-01-06,1036566.6275801086
68,2022-01-07,1027428.4320704498
69,2022-01-10,1021410.2086898498
70,2022-01-11,1031939.9757339477
71,2022-01-12,1036886.6633191528
72,2022-01-13,1022323.7979675598
73,2022-01-14,1021028.4140684739
74,2022-01-18,1004630.3970431747
75,2022-01-19,991571.5547018127
76,2022-01-20,976966.6852333832
77,2022-01-21,954698.473224472
78,2022-01-24,962679.8403577652
79,2022-01-25,952431.8140963211
80,2022-01-26,947932.500659954
81,2022-01-27,933013.0663429565
82,2022-01-28,949772.6383239479
83,2022-01-31,977298.5604724311
84,2022-02-01,983679.2136060905
85,2022-02-02,981801.4650155602
86,2022-02-03,958636.3125853539
87,2022-02-04,978059.9150297355
88,2022-02-07,977194.6468267327
89,2022-02-08,988693.1918267441
90,2022-02-09,999252.9881361657
91,2022-02-10,983423.2783565865
92,2022-02-11,959904.0443722267
93,2022-02-14,963429.0229740486
94,2022-02-15,981252.5621937179
95,2022-02-16,983827.1207375297
96,2022-02-17,963378.3914416771
97,2022-02-18,958937.5876064034
98,2022-02-22,935213.644039463
99,2022-02-23,908627.9543991737
100,2022-02-24,921874.9872756234
101,2022-02-25,942444.1796381111
102,2022-02-28,945118.6379761238
103,2022-03-01,931891.3802557258
104,2022-03-02,949816.8100760079
105,2022-03-03,933892.0714068031
106,2022-03-04,921739.3270828743
107,2022-03-07,882058.6251251716
108,2022-03-08,878881.7514450569
109,2022-03-09,903083.2983887214
110,2022-03-10,906502.4776794929
111,2022-03-11,890521.3175156135
112,2022-03-14,879730.6496155281
113,2022-03-15,907051.7399628181
114,2022-03-16,932423.8347809333
115,2022-03-17,946274.4570114631
116,2022-03-18,962713.4080612678
117,2022-03-21,956405.1863663215
118,2022-03-22,977073.5127136726
119,2022-03-23,965565.9100449104
120,2022-03-24,972966.5408432502
121,2022-03-25,973245.1668121833
122,2022-03-28,994804.8061172981
123,2022-03-29,1010391.5112564582
124,2022-03-30,997922.8997070808
125,2022-03-31,981594.6866791267
126,2022-04-01,984248.6691086311
127,2022-04-04,1001412.9622757453
128,2022-04-05,982466.1067154426
129,2022-04-06,964347.9564545173
130,2022-04-07,970389.259860279
131,2022-04-08,964179.9132721443
132,2022-04-11,949132.0399963874
133,2022-04-12,950644.5139038581
134,2022-04-13,970413.8381378669
135,2022-04-14,959343.6488831062
136,2022-04-18,960290.2710297126
137,2022-04-19,985426.6992981452
138,2022-04-20,978110.3513367195
139,2022-04-21,970132.0673859138
140,2022-04-22,948863.0821106452
141,2022-04-25,955115.2924072761
142,2022-04-26,913570.1581680793
143,2022-04-27,914297.0132172126
144,2022-04-28,931895.204669239
145,2022-04-29,889093.5921509285
146,2022-05-02,896969.0728180427
147,2022-05-03,894938.2162964363
148,2022-05-04,920050.5743591804
149,2022-05-05,875519.3617355842
150,2022-05-06,866896.7537033577
151,2022-05-09,837588.8909111901
152,2022-05-10,834322.3593173714
153,2022-05-11,810272.5097232552
154,2022-05-12,814390.4462466927
155,2022-05-13,841894.1084247322
156,2022-05-16,828471.9296756478
157,2022-05-17,843778.9236888619
158,2022-05-18,789376.8540523414
159,2022-05-19,786807.2517049179
160,2022-05-20,776453.8615758285
161,2022-05-23,784742.8418156967
162,2022-05-24,771790.8816106186
163,2022-05-25,788621.3323399887
164,2022-05-26,820515.8405339584
165,2022-05-27,844576.328593956
166,2022-05-31,846672.0174825058
167,2022-06-01,837320.8240010604
168,2022-06-02,860007.8854710922
169,2022-06-03,838331.57161306
170,2022-06-06,844998.5153004989
171,2022-06-07,844376.3394505844
172,2022-06-08,838136.7074849472
173,2022-06-09,823386.1738698349
174,2022-06-10,796429.7391049728
175,2022-06-13,763909.5685307846
176,2022-06-14,761436.6180226669
177,2022-06-15,778330.954551445
178,2022-06-16,747083.4959714279
179,2022-06-17,752855.025443779
180,2022-06-21,773968.9891164169
181,2022-06-22,772663.786582695
182,2022-06-23,785113.750896202
183,2022-06-24,812016.2238156662
184,2022-06-27,804898.0366895065
185,2022-06-28,777594.9770848617
186,2022-06-29,778067.0500447616
187,2022-06-30,769251.904021965
188,2022-07-01,782682.6647565231
189,2022-07-05,794998.5207211837
190,2022-07-06,793423.2279012069
191,2022-07-07,809592.2695348129
192,2022-07-08,809349.7537762985
193,2022-07-11,791786.6710507736
194,2022-07-12,787523.9824902877
195,2022-07-13,792490.6845738754
196,2022-07-14,791838.396964775
197,2022-07-15,802735.2539632187
198,2022-07-18,802864.1533620224
199,2022-07-19,824136.7343633041
200,2022-07-20,833635.3576314315
