,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,999829.0382633209
2,2021-10-05,1000181.1932250977
3,2021-10-06,1000914.5413597107
4,2021-10-07,1002269.9892147065
5,2021-10-08,1001544.7582061768
6,2021-10-11,1000082.3975482942
7,2021-10-12,1001116.0181678773
8,2021-10-13,1002616.442448044
9,2021-10-14,1007301.9138977053
10,2021-10-15,1010676.5769325258
11,2021-10-18,1012113.0081302646
12,2021-10-19,1013111.9762401583
13,2021-10-20,1015504.1548191074
14,2021-10-21,1019487.9014610294
15,2021-10-22,1020238.346632004
16,2021-10-25,1027584.7167358401
17,2021-10-26,1027505.9264049532
18,2021-10-27,1024618.4689086918
19,2021-10-28,1033125.5145404818
20,2021-10-29,1033272.1584053043
21,2021-11-01,1042151.4870265964
22,2021-11-02,1041001.1740028384
23,2021-11-03,1049663.3594066624
24,2021-11-04,1056501.2850031285
25,2021-11-05,1064549.9901575474
26,2021-11-08,1054885.2973780064
27,2021-11-09,1047753.4770807651
28,2021-11-10,1046312.6780695346
29,2021-11-11,1042953.1251520541
30,2021-11-12,1046399.883193436
31,2021-11-15,1049264.8204645542
32,2021-11-16,1055113.7111658482
33,2021-11-17,1056532.3082270054
34,2021-11-18,1060211.2600550083
35,2021-11-19,1061412.5030054478
36,2021-11-22,1063068.2613214878
37,2021-11-23,1061126.8008264927
38,2021-11-24,1061453.4682306675
39,2021-11-26,1036811.5716242221
40,2021-11-29,1047385.5802301791
41,2021-11-30,1025990.465651932
42,2021-12-01,1013543.4512323764
43,2021-12-02,1030694.7175745395
44,2021-12-03,1024604.417983475
45,2021-12-06,1039207.4501490024
46,2021-12-07,1054305.2129358677
47,2021-12-08,1055444.4600672154
48,2021-12-09,1046454.5156702426
49,2021-12-10,1054465.6444391636
50,2021-12-13,1043642.5351099399
51,2021-12-14,1037783.9036859897
52,2021-12-15,1050149.2675928501
53,2021-12-16,1041828.6770471957
54,2021-12-17,1029126.6767115024
55,2021-12-20,1018105.1198267367
56,2021-12-21,1034023.5069879916
57,2021-12-22,1044965.9075464633
58,2021-12-23,1054708.1510919956
59,2021-12-27,1064562.4580225376
60,2021-12-28,1068437.7286981968
61,2021-12-29,1071527.6892847447
62,2021-12-30,1068941.1216425328
63,2021-12-31,1070595.0098108677
64,2022-01-03,1080831.6137689976
65,2022-01-04,1083366.1963037876
66,2022-01-05,1067408.1999353794
67,2022-01-06,1065123.2801050572
68,2022-01-07,1058453.7787775425
69,2022-01-10,1050331.8702234654
70,2022-01-11,1054652.9845270542
71,2022-01-12,1059136.3300623326
72,2022-01-13,1051183.24655098
73,2022-01-14,1046751.227446976
74,2022-01-18,1030660.096663895
75,2022-01-19,1021543.9013361362
76,2022-01-20,1009382.48974556
77,2022-01-21,994152.7983087924
78,2022-01-24,998535.3174890903
79,2022-01-25,984516.5504145053
80,2022-01-26,977847.3027643588
81,2022-01-27,968053.5824579623
82,2022-01-28,982533.9439997104
83,2022-01-31,1004779.30224556
84,2022-02-01,1008364.2604669955
85,2022-02-02,1011795.64939827
86,2022-02-03,993948.6174005893
87,2022-02-04,1000072.1833032992
88,2022-02-07,999451.2761072543
89,2022-02-08,1008674.5653681186
90,2022-02-09,1018462.8985742953
91,2022-02-10,1000981.7375635531
92,2022-02-11,984255.621398392
93,2022-02-14,984046.9515222934
94,2022-02-15,996684.496978226
95,2022-02-16,999829.5344080356
96,2022-02-17,985205.4276575473
97,2022-02-18,980710.7842096713
98,2022-02-22,964566.6115717319
99,2022-02-23,942632.4008631137
100,2022-02-24,952795.6113733676
101,2022-02-25,976357.2642206576
102,2022-02-28,979514.2236322787
103,2022-03-01,967338.0859064487
104,2022-03-02,984578.1088556674
105,2022-03-03,979431.8535761264
106,2022-03-04,975900.9632563022
107,2022-03-07,948707.6960291293
108,2022-03-08,940934.9831995395
109,2022-03-09,957432.2484735873
110,2022-03-10,959456.5590967563
111,2022-03-11,947400.6247400668
112,2022-03-14,942275.7327112582
113,2022-03-15,964657.7168726352
114,2022-03-16,981272.2537226108
115,2022-03-17,993050.9240564731
116,2022-03-18,1001821.0705408481
117,2022-03-21,1000055.8681177524
118,2022-03-22,1013458.1408991244
119,2022-03-23,1004575.0587610629
120,2022-03-24,1012640.8945307162
121,2022-03-25,1017205.631164017
122,2022-03-28,1030674.3476099399
123,2022-03-29,1043799.5162653354
124,2022-03-30,1038147.5447687533
125,2022-03-31,1025235.8340601352
126,2022-04-01,1028096.768386307
127,2022-04-04,1035761.7307428744
128,2022-04-05,1023127.1022791293
129,2022-04-06,1015848.5101618198
130,2022-04-07,1020560.5908350375
131,2022-04-08,1016672.0387567905
132,2022-04-11,1004867.6733698276
133,2022-04-12,1006138.2900995639
134,2022-04-13,1019374.3202051547
135,2022-04-14,1013167.3159326938
136,2022-04-18,1011181.07517952
137,2022-04-19,1031570.5322260287
138,2022-04-20,1031419.9459375766
139,2022-04-21,1021743.9220575717
140,2022-04-22,1000233.9511255649
141,2022-04-25,1002879.6237329867
142,2022-04-26,972094.4192804721
143,2022-04-27,972840.0073999789
144,2022-04-28,988107.2513117221
145,2022-04-29,951317.3088373569
146,2022-05-02,953368.0112757114
147,2022-05-03,953966.9974359897
148,2022-05-04,979520.2867273715
149,2022-05-05,945855.3471369174
150,2022-05-06,941040.4547724155
151,2022-05-09,918396.9546961215
152,2022-05-10,912677.7841333774
153,2022-05-11,898318.7593378451
154,2022-05-12,899373.5788416293
155,2022-05-13,920349.294646683
156,2022-05-16,913569.0846247104
157,2022-05-17,927845.9520868686
158,2022-05-18,882878.8050074008
159,2022-05-19,877899.1327204135
160,2022-05-20,870537.65380806
161,2022-05-23,881806.4191584018
162,2022-05-24,879150.1961664584
163,2022-05-25,889530.6336054233
164,2022-05-26,912609.7855829623
165,2022-05-27,933821.9395594028
166,2022-05-31,930255.8996729281
167,2022-06-01,922566.6696619418
168,2022-06-02,941468.4165644076
169,2022-06-03,927108.9026636508
170,2022-06-06,932494.1520532992
171,2022-06-07,936524.0249323276
172,2022-06-08,924784.1797327426
173,2022-06-09,907222.4050592807
174,2022-06-10,884618.4628748324
175,2022-06-13,851309.8545679477
176,2022-06-14,844639.2608484653
177,2022-06-15,856937.8698267367
178,2022-06-16,829445.8866876987
179,2022-06-17,830432.314544144
180,2022-06-21,850392.2178644565
181,2022-06-22,850124.4025415805
182,2022-06-23,861120.1011652377
183,2022-06-24,886949.7044977573
184,2022-06-27,883637.8967127231
185,2022-06-28,864561.8433222201
186,2022-06-29,864284.0625605014
187,2022-06-30,861949.9880518344
188,2022-07-01,876167.1835626987
189,2022-07-05,873732.3792414096
190,2022-07-06,875945.6445154574
191,2022-07-07,887085.9249414828
192,2022-07-08,885363.9236139682
193,2022-07-11,875253.6162104037
194,2022-07-12,871299.2080530551
195,2022-07-13,871033.4287409213
196,2022-07-14,869749.5102381137
197,2022-07-15,879194.4986566928
198,2022-07-18,875064.0729669955
199,2022-07-19,895601.5999292758
200,2022-07-20,899762.912490311
201,2022-07-21,910477.6427759555
202,2022-07-22,910976.532927933
203,2022-07-25,911683.5859217074
204,2022-07-26,899385.3246759799
205,2022-07-27,917304.7181085971
206,2022-07-28,936740.5235590365
207,2022-07-29,955785.6509241489
208,2022-08-01,960305.1067499545
209,2022-08-02,953542.5758203891
210,2022-08-03,967239.5471186069
211,2022-08-04,968871.8859705356
212,2022-08-05,961421.4405817416
213,2022-08-08,963272.8149561313
214,2022-08-09,957884.525695267
215,2022-08-10,975705.351943436
216,2022-08-11,974449.8396143344
217,2022-08-12,991210.3231806186
218,2022-08-15,997793.62646431
219,2022-08-16,1005855.4123377231
