,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,999586.3915477754
2,2021-10-05,1000201.4354156496
3,2021-10-06,1000804.2227973939
4,2021-10-07,1003194.4200199128
5,2021-10-08,1001920.6943405152
6,2021-10-11,999865.9077892303
7,2021-10-12,1000538.1320335389
8,2021-10-13,1002644.4709659577
9,2021-10-14,1010612.1513526917
10,2021-10-15,1014820.3188453674
11,2021-10-18,1015241.3020679473
12,2021-10-19,1018678.7220035552
13,2021-10-20,1024229.7651737212
14,2021-10-21,1028617.8502105712
15,2021-10-22,1029889.6909557341
16,2021-10-25,1038774.7292846679
17,2021-10-26,1040109.2883347167
18,2021-10-27,1034085.4174851073
19,2021-10-28,1044507.9539230956
20,2021-10-29,1046078.6480759276
21,2021-11-01,1053237.5865677488
22,2021-11-02,1055123.2785080564
23,2021-11-03,1064096.2959488523
24,2021-11-04,1067394.0865677488
25,2021-11-05,1071606.755757202
26,2021-11-08,1067854.8488663328
27,2021-11-09,1062660.7891129148
28,2021-11-10,1061276.0288590086
29,2021-11-11,1059469.2023361814
30,2021-11-12,1063901.7058914793
31,2021-11-15,1063877.7563217771
32,2021-11-16,1068526.276509155
33,2021-11-17,1068952.004093994
34,2021-11-18,1071084.6936234129
35,2021-11-19,1070440.4048050535
36,2021-11-22,1070788.9194077146
37,2021-11-23,1069730.2544754636
38,2021-11-24,1068931.3980911863
39,2021-11-26,1048881.6030777586
40,2021-11-29,1057371.299015869
41,2021-11-30,1035458.2175491942
42,2021-12-01,1025143.6966446532
43,2021-12-02,1040494.0219162597
44,2021-12-03,1036188.156437744
45,2021-12-06,1049227.461476196
46,2021-12-07,1064367.513203491
47,2021-12-08,1067302.6983688963
48,2021-12-09,1060735.8275955808
49,2021-12-10,1067766.4832352293
50,2021-12-13,1061255.7166336668
51,2021-12-14,1056238.1620224607
52,2021-12-15,1069313.4348801267
53,2021-12-16,1066068.8684433592
54,2021-12-17,1054230.3961685789
55,2021-12-20,1042874.1413010253
56,2021-12-21,1056501.960759033
57,2021-12-22,1067667.1810654295
58,2021-12-23,1076670.9334305418
59,2021-12-27,1087785.4753464353
60,2021-12-28,1090615.5584763181
61,2021-12-29,1094537.0659683836
62,2021-12-30,1092701.0663498533
63,2021-12-31,1093455.5820511472
64,2022-01-03,1096646.4260147703
65,2022-01-04,1097106.7241257322
66,2022-01-05,1084436.588795532
67,2022-01-06,1078644.6615189207
68,2022-01-07,1072718.5330856931
69,2022-01-10,1067924.233326782
70,2022-01-11,1074166.4171799314
71,2022-01-12,1078056.0397843015
72,2022-01-13,1068029.2690170896
73,2022-01-14,1063447.959095825
74,2022-01-18,1047637.5371903075
75,2022-01-19,1040064.353779663
76,2022-01-20,1028332.9815415038
77,2022-01-21,1012395.5641983642
78,2022-01-24,1014913.0742996825
79,2022-01-25,1002817.231526245
80,2022-01-26,995884.9952438964
81,2022-01-27,989931.3718002929
82,2022-01-28,1004734.5011643065
83,2022-01-31,1023226.7179154052
84,2022-02-01,1028300.6864212645
85,2022-02-02,1033697.9596909179
86,2022-02-03,1018085.0015457763
87,2022-02-04,1019641.1011246337
88,2022-02-07,1018202.9844864501
89,2022-02-08,1028257.5052841796
90,2022-02-09,1039461.6978043212
91,2022-02-10,1023446.5274399413
92,2022-02-11,1006918.7996262206
93,2022-02-14,1003707.8215378417
94,2022-02-15,1017135.3873032226
95,2022-02-16,1020560.5810440673
96,2022-02-17,1004817.8979843749
97,2022-02-18,999994.2860153808
98,2022-02-22,986436.4754074706
99,2022-02-23,968653.1042374267
100,2022-02-24,976196.7468155517
101,2022-02-25,1002917.8544205321
102,2022-02-28,1002105.8693741454
103,2022-03-01,989634.6562851561
104,2022-03-02,1007296.4755600585
105,2022-03-03,1004739.4842575683
106,2022-03-04,1002736.0983780517
107,2022-03-07,975785.8778580321
108,2022-03-08,965825.8231857909
109,2022-03-09,984887.869908203
110,2022-03-10,986595.537083496
111,2022-03-11,975811.7372482909
112,2022-03-14,973411.1953323974
113,2022-03-15,994321.1749008788
114,2022-03-16,1010399.5260666503
115,2022-03-17,1024328.1446579589
116,2022-03-18,1032609.2448319091
117,2022-03-21,1032258.8985642089
118,2022-03-22,1042350.7409866942
119,2022-03-23,1031755.5386551513
120,2022-03-24,1042481.5537003173
121,2022-03-25,1048040.3392838134
122,2022-03-28,1058351.103413452
123,2022-03-29,1069827.9909104002
124,2022-03-30,1065775.4335373533
125,2022-03-31,1052867.4847916258
126,2022-04-01,1057915.7750900877
127,2022-04-04,1061592.025929321
128,2022-04-05,1052123.0274857176
129,2022-04-06,1048556.5341690673
130,2022-04-07,1056869.3718308103
131,2022-04-08,1056300.241719116
132,2022-04-11,1043013.4684952392
133,2022-04-12,1041787.8517960204
134,2022-04-13,1054080.6424454344
135,2022-04-14,1048215.6420181884
136,2022-04-18,1044653.6950882567
137,2022-04-19,1062072.7603958738
138,2022-04-20,1065593.0692795408
139,2022-04-21,1054242.7447403562
140,2022-04-22,1026392.0510758056
141,2022-04-25,1029297.7203720702
142,2022-04-26,1002222.9056900634
143,2022-04-27,1004203.68269812
144,2022-04-28,1019642.2263535155
145,2022-04-29,986243.304875244
146,2022-05-02,986135.6646317138
147,2022-05-03,988635.8265885009
148,2022-05-04,1014969.4539230956
149,2022-05-05,983382.1718338622
150,2022-05-06,977435.329258789
151,2022-05-09,952314.7574051513
152,2022-05-10,948363.7985581054
153,2022-05-11,937074.1409805907
154,2022-05-12,939542.5380295409
155,2022-05-13,958086.3337601317
156,2022-05-16,954549.6778305663
157,2022-05-17,970837.7010544433
158,2022-05-18,930556.1045273436
159,2022-05-19,928567.5141647948
160,2022-05-20,925568.7211655272
161,2022-05-23,937335.9797257079
162,2022-05-24,935130.441090454
163,2022-05-25,942894.2828720702
164,2022-05-26,962164.8606003417
165,2022-05-27,983311.5937851561
166,2022-05-31,976105.8585251464
167,2022-06-01,966518.2343338622
168,2022-06-02,984813.2834061278
169,2022-06-03,971117.492085327
170,2022-06-06,976148.7646988524
171,2022-06-07,982462.4065750731
172,2022-06-08,970045.1540421142
173,2022-06-09,950270.1796463622
174,2022-06-10,927420.5606125487
175,2022-06-13,893687.6266831054
176,2022-06-14,886474.6883591308
177,2022-06-15,896891.5788162841
178,2022-06-16,870752.4421127929
179,2022-06-17,871213.7518204345
180,2022-06-21,891696.5013168944
181,2022-06-22,892642.4278305663
182,2022-06-23,902938.2422836913
183,2022-06-24,928564.1145065917
184,2022-06-27,925994.0089310302
185,2022-06-28,907949.2857712401
186,2022-06-29,908645.6045273436
187,2022-06-30,905092.2029770507
188,2022-07-01,917876.8362320556
189,2022-07-05,912966.9077957763
190,2022-07-06,916505.2358292235
191,2022-07-07,926141.4589279784
192,2022-07-08,924472.5718582763
193,2022-07-11,916556.8467301024
