,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,999690.2449493408
2,2021-10-05,1000442.0897628785
3,2021-10-06,1000895.7690883637
4,2021-10-07,1002126.3788677215
5,2021-10-08,1002137.4855873107
6,2021-10-11,1000513.2659683226
7,2021-10-12,1000100.0854789732
8,2021-10-13,1001946.25647583
9,2021-10-14,1009560.7375381469
10,2021-10-15,1012008.9913871764
11,2021-10-18,1012787.6035404205
12,2021-10-19,1017462.7144584656
13,2021-10-20,1020377.0411735536
14,2021-10-21,1019756.1674488068
15,2021-10-22,1020442.5880733491
16,2021-10-25,1023722.2536548616
17,2021-10-26,1024866.6257225038
18,2021-10-27,1016695.3245170594
19,2021-10-28,1025076.9245166779
20,2021-10-29,1024192.4391983033
21,2021-11-01,1027055.9381576539
22,2021-11-02,1031889.9986457825
23,2021-11-03,1033863.6702445451
24,2021-11-04,1039662.9173148576
25,2021-11-05,1048197.7601874772
26,2021-11-08,1052358.2461036148
27,2021-11-09,1053513.8548758926
28,2021-11-10,1042835.6094993058
29,2021-11-11,1044654.9033530656
30,2021-11-12,1051934.754770607
31,2021-11-15,1054018.8156150284
32,2021-11-16,1056902.4807685318
33,2021-11-17,1051469.7913688126
34,2021-11-18,1052443.9717963638
35,2021-11-19,1050001.4489692154
36,2021-11-22,1049578.6657432022
37,2021-11-23,1052940.5551703873
38,2021-11-24,1055295.3148673477
39,2021-11-26,1029502.3239615861
40,2021-11-29,1042710.1816886369
41,2021-11-30,1022419.119943947
42,2021-12-01,1011580.2117179338
43,2021-12-02,1029930.7266486589
44,2021-12-03,1023631.0965369645
45,2021-12-06,1037368.4235022966
46,2021-12-07,1059070.3318732681
47,2021-12-08,1061981.3010962906
48,2021-12-09,1055013.5227454605
49,2021-12-10,1066336.9091971817
50,2021-12-13,1055749.00158152
51,2021-12-14,1045808.0749381486
52,2021-12-15,1059982.2213996353
53,2021-12-16,1052614.945734352
54,2021-12-17,1039318.0457862321
55,2021-12-20,1026850.4614661637
56,2021-12-21,1045616.1183188859
57,2021-12-22,1054002.8336280289
58,2021-12-23,1060637.7666495743
59,2021-12-27,1077269.0777839127
60,2021-12-28,1078782.3844626846
61,2021-12-29,1080400.654291481
62,2021-12-30,1076205.782732338
63,2021-12-31,1076983.4017737808
64,2022-01-03,1078250.5043509903
65,2022-01-04,1084623.328272194
66,2022-01-05,1070494.2506965103
67,2022-01-06,1068363.8994086685
68,2022-01-07,1067606.6605704727
69,2022-01-10,1061754.0620063248
70,2022-01-11,1072494.2069571915
71,2022-01-12,1077620.9247229996
72,2022-01-13,1067043.2376120987
73,2022-01-14,1069132.6991599503
74,2022-01-18,1053932.2347052994
75,2022-01-19,1045663.259950966
76,2022-01-20,1034545.1618674699
77,2022-01-21,1018236.7867453996
78,2022-01-24,1020775.2737983171
79,2022-01-25,1011767.8773978654
80,2022-01-26,1008556.9570334855
81,2022-01-27,1007688.5310996476
82,2022-01-28,1026034.7881339494
83,2022-01-31,1043104.7473166886
84,2022-02-01,1052627.8313773575
85,2022-02-02,1060322.644525856
86,2022-02-03,1041074.6193717424
87,2022-02-04,1038152.6917823259
88,2022-02-07,1036707.9394477311
89,2022-02-08,1042921.1032889787
90,2022-02-09,1059516.3979590836
91,2022-02-10,1040641.3337500993
92,2022-02-11,1027938.3654654924
93,2022-02-14,1020873.887659401
94,2022-02-15,1034160.761614174
95,2022-02-16,1037733.689676613
96,2022-02-17,1020007.6381476823
97,2022-02-18,1013366.1985953752
98,2022-02-22,1003242.5657065812
99,2022-02-23,987747.985315651
100,2022-02-24,1001025.7592414323
101,2022-02-25,1025017.3726066056
102,2022-02-28,1028272.164171547
103,2022-03-01,1014343.94853434
104,2022-03-02,1035073.8898642961
105,2022-03-03,1034506.5189383927
106,2022-03-04,1035243.5679496232
