,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,999820.4528770447
2,2021-10-05,1000342.3602870941
3,2021-10-06,1000452.6980113983
4,2021-10-07,1002071.3425823211
5,2021-10-08,1002492.7373245239
6,2021-10-11,1001203.581306076
7,2021-10-12,1001886.7508628846
8,2021-10-13,1002515.2147808076
9,2021-10-14,1006974.484300232
10,2021-10-15,1011516.213623047
11,2021-10-18,1014107.3706027986
12,2021-10-19,1015318.6323715211
13,2021-10-20,1016891.3462799073
14,2021-10-21,1019365.1600349427
15,2021-10-22,1020410.0269641876
16,2021-10-25,1029463.0133567811
17,2021-10-26,1028987.0181423188
18,2021-10-27,1023588.0246444703
19,2021-10-28,1032474.1883899691
20,2021-10-29,1032502.6474502564
21,2021-11-01,1042658.5113468171
22,2021-11-02,1039465.1764621735
23,2021-11-03,1046510.2837234498
24,2021-11-04,1052994.357554245
25,2021-11-05,1060666.4892520905
26,2021-11-08,1055913.1457580568
27,2021-11-09,1046575.8871394044
28,2021-11-10,1039135.3937312013
29,2021-11-11,1037397.3252344972
30,2021-11-12,1041180.1804514772
31,2021-11-15,1042401.5008021242
32,2021-11-16,1050937.5274821168
33,2021-11-17,1049457.5020991212
34,2021-11-18,1053730.8520670778
35,2021-11-19,1048323.1266184694
36,2021-11-22,1051397.5725184327
37,2021-11-23,1053550.0615702516
38,2021-11-24,1055494.4798212892
39,2021-11-26,1024365.1151972658
40,2021-11-29,1034158.2254725343
41,2021-11-30,1014740.5696116334
42,2021-12-01,999128.4701929933
43,2021-12-02,1020641.1218882448
44,2021-12-03,1007369.8329935914
45,2021-12-06,1021121.1434336549
46,2021-12-07,1040974.3217936403
47,2021-12-08,1042435.4378977662
48,2021-12-09,1030979.0438090211
49,2021-12-10,1036882.1612482911
50,2021-12-13,1015468.9755869752
51,2021-12-14,1009965.6384516603
52,2021-12-15,1018433.1269999391
53,2021-12-16,1009059.9478159791
54,2021-12-17,996156.0708628541
55,2021-12-20,980281.8934183961
56,2021-12-21,1003991.7189722902
57,2021-12-22,1015410.6434183961
58,2021-12-23,1026315.3614436036
59,2021-12-27,1038219.2899332887
60,2021-12-28,1039750.9064265138
61,2021-12-29,1040296.4001170045
62,2021-12-30,1036392.3005610353
63,2021-12-31,1036420.0421305543
64,2022-01-03,1054958.4379664308
65,2022-01-04,1064434.8798685914
66,2022-01-05,1045912.5139017946
67,2022-01-06,1050488.8939829713
68,2022-01-07,1044829.3878565675
69,2022-01-10,1037782.9700480348
70,2022-01-11,1050364.0499659425
71,2022-01-12,1055041.9291239625
72,2022-01-13,1043864.5320521242
73,2022-01-14,1042375.3820124513
74,2022-01-18,1027909.2047282106
75,2022-01-19,1013016.1643916017
76,2022-01-20,998586.9439020997
77,2022-01-21,976873.1047907716
78,2022-01-24,985314.5444193727
79,2022-01-25,981083.6993189699
80,2022-01-26,976563.7612391359
