date,a2c,ddpg,td3,ppo,sac,dji,nasdaq
2021-10-01,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2021-10-04,999882.538607788,999829.0382633209,999820.4528770447,999586.3915477754,999690.2449493408,990574.6455164986,978383.395914999
2021-10-05,1000200.3354976653,1000181.1932250977,1000342.3602870941,1000201.4354156496,1000442.0897628785,999656.560502364,992041.5927377759
2021-10-06,1000192.143943405,1000914.5413597107,1000452.6980113983,1000804.2227973939,1000895.7690883637,1002637.2466394025,998301.7619145863
2021-10-07,1001517.4644809722,1002269.9892147065,1002071.3425823211,1003194.4200199128,1002126.3788677215,1012482.5122383039,1007116.0552919331
2021-10-08,1001953.5295021055,1001544.7582061768,1002492.7373245239,1001920.6943405152,1002137.4855873107,1012229.3138015111,1001952.4159273779
2021-10-11,1001146.2386821746,1000082.3975482942,1001203.581306076,999865.9077892303,1000513.2659683226,1004940.7265304396,994717.3922013617
2021-10-12,1002063.5087562561,1001116.0181678773,1001886.7508628846,1000538.1320335389,1000100.0854789732,1001511.3386242893,991227.6294615226
2021-10-13,1002538.4839176178,1002616.442448044,1002515.2147808076,1002644.4709659577,1001946.25647583,1001495.8622254562,998832.4324324324
2021-10-14,1005355.2279190064,1007301.9138977053,1006974.484300232,1010612.1513526917,1009560.7375381469,1017074.2232156451,1017614.3924076748
2021-10-15,1008954.9670211793,1010676.5769325258,1011516.213623047,1014820.3188453674,1012008.9913871764,1028208.5817997096,1024003.0369300599
2021-10-18,1011481.3255268098,1012113.0081302646,1014107.3706027986,1015241.3020679473,1012787.6035404205,1027155.3900997022,1034412.1147101299
2021-10-19,1011991.5712554932,1013111.9762401583,1015318.6323715211,1018678.7220035552,1017462.7144584656,1032943.9046544586,1041837.1446255416
2021-10-20,1012753.5734313965,1015504.1548191074,1016891.3462799073,1024229.7651737212,1020377.0411735536,1037372.8858499513,1040349.1809366619
2021-10-21,1014951.9284095764,1019487.9014610294,1019365.1600349427,1028617.8502105712,1019756.1674488068,1037190.4691784104,1047169.1355477615
2021-10-22,1015467.8649868012,1020238.346632004,1020410.0269641876,1029889.6909557341,1020442.5880733491,1039344.5335424772,1038074.9824633795
2021-10-25,1024158.032862854,1027584.7167358401,1029463.0133567811,1038774.7292846679,1023722.2536548616,1041212.7397163314,1048832.2508768311
2021-10-26,1024765.5574466705,1027505.9264049532,1028987.0181423188,1040109.2883347167,1024866.6257225038,1041671.0004376635,1051894.7307612957
2021-10-27,1021509.7541923523,1024618.4689086918,1023588.0246444703,1034085.4174851073,1016695.3245170594,1033916.4142458431,1054524.5141324531
2021-10-28,1028025.2132808685,1033125.5145404818,1032474.1883899691,1044507.9539230956,1025076.9245166779,1040901.9599721152,1066677.8460903652
2021-10-29,1028005.5150131225,1033272.1584053043,1032502.6474502564,1046078.6480759276,1024192.4391983033,1043496.9879058771,1071566.3131834124
2021-11-01,1037579.9900913239,1042151.4870265964,1042658.5113468171,1053237.5865677488,1027055.9381576539,1046243.5935105638,1075271.7639777183
2021-11-02,1033648.9415599823,1041001.1740028384,1039465.1764621735,1055123.2785080564,1031889.9986457825,1050286.8027057296,1079815.473488756
2021-11-03,1041218.0894454955,1049663.3594066624,1046510.2837234498,1064096.2959488523,1033863.6702445451,1053344.1880546326,1091444.142768723
2021-11-04,1046733.2509571074,1056501.2850031285,1052994.357554245,1067394.0865677488,1039662.9173148576,1052372.7026367004,1105082.7315865483
2021-11-05,1051817.2888721465,1064549.9901575474,1060666.4892520905,1071606.755757202,1048197.7601874772,1058307.4464010203,1105971.0336290488
