,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,983782.0011942941
2,2021-10-05,989666.232319172
3,2021-10-06,987861.3511469918
4,2021-10-07,1000963.3523905831
5,2021-10-08,995943.8865435678
6,2021-10-11,988176.8692286569
7,2021-10-12,983391.2718318063
8,2021-10-13,984960.4220393258
9,2021-10-14,999082.4181788522
10,2021-10-15,1004025.1679614144
11,2021-10-18,997199.9500659066
12,2021-10-19,1010302.0419390756
13,2021-10-20,1024737.8329699594
14,2021-10-21,1028894.8441660958
15,2021-10-22,1033053.2371371347
16,2021-10-25,1034309.2855914193
17,2021-10-26,1039408.9984744149
18,2021-10-27,1031169.6905139047
19,2021-10-28,1039800.2224009591
20,2021-10-29,1049920.179119404
21,2021-11-01,1048665.962814625
22,2021-11-02,1055255.315182026
23,2021-11-03,1061452.433414753
24,2021-11-04,1054156.5305827218
25,2021-11-05,1042389.482483204
26,2021-11-08,1048587.661892231
27,2021-11-09,1044743.6236460763
28,2021-11-10,1047723.3530085641
29,2021-11-11,1044663.8945200997
30,2021-11-12,1049841.645977314
31,2021-11-15,1043330.5900080758
32,2021-11-16,1047723.9567797738
33,2021-11-17,1049213.5962641793
34,2021-11-18,1049605.825641926
35,2021-11-19,1043248.8615267831
36,2021-11-22,1038542.7876551705
37,2021-11-23,1039642.9121096688
38,2021-11-24,1039250.8870814401
39,2021-11-26,1035404.7076647836
40,2021-11-29,1038229.2144435006
41,2021-11-30,1017830.2248232919
42,2021-12-01,1016025.2821467477
43,2021-12-02,1020969.3532031137
44,2021-12-03,1022851.648334797
45,2021-12-06,1028658.1054995614
46,2021-12-07,1041917.9023135263
47,2021-12-08,1049763.1381991464
48,2021-12-09,1052194.7628863412
49,2021-12-10,1055882.3222964364
50,2021-12-13,1065844.3092158395
51,2021-12-14,1061529.1738169747
52,2021-12-15,1083260.2546313363
53,2021-12-16,1089693.720146473
54,2021-12-17,1082082.755630787
55,2021-12-20,1075529.6636508065
56,2021-12-21,1080020.197326954
57,2021-12-22,1092621.092136677
58,2021-12-23,1097110.3562968331
59,2021-12-27,1108688.1857302743
60,2021-12-28,1105774.2596362191
61,2021-12-29,1112074.2036593514
62,2021-12-30,1114357.8054392892
63,2021-12-31,1109632.632847126
64,2022-01-03,1098215.0117877084
65,2022-01-04,1083726.2859767037
66,2022-01-05,1076008.107281025
67,2022-01-06,1063566.12170821
68,2022-01-07,1058133.1471293527
69,2022-01-10,1069000.971470173
70,2022-01-11,1077508.2795069772
71,2022-01-12,1074436.9199984628
72,2022-01-13,1057740.8388865548
73,2022-01-14,1055930.9385760385
74,2022-01-18,1041125.1804583627
75,2022-01-19,1036872.1857836801
76,2022-01-20,1030098.6575434762
77,2022-01-21,1019701.913215931
78,2022-01-24,1016315.9756129342
79,2022-01-25,1009781.7357638436
80,2022-01-26,1004505.0916445809
81,2022-01-27,1007104.6647646981
82,2022-01-28,1027659.2044642526
83,2022-01-31,1033566.0462229806
84,2022-02-01,1036324.4388239938
85,2022-02-02,1050264.3673899728
86,2022-02-03,1045774.765899952
87,2022-02-04,1041995.470600422
88,2022-02-07,1040185.0057490426
89,2022-02-08,1048688.9453394967
90,2022-02-09,1056801.3032801705
91,2022-02-10,1040262.5796015817
92,2022-02-11,1025852.3476374703
93,2022-02-14,1015376.4964716989
94,2022-02-15,1026795.1199381906
