,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,991099.906374817
2,2021-10-05,995078.1647366334
3,2021-10-06,998227.6264065553
4,2021-10-07,1013753.3116787721
5,2021-10-08,1009112.324129944
6,2021-10-11,1005023.4682339479
7,2021-10-12,1012979.8137539674
8,2021-10-13,1017952.5939053346
9,2021-10-14,1028616.3533657838
10,2021-10-15,1044363.1481045533
11,2021-10-18,1057126.4630764772
12,2021-10-19,1054142.7265042115
13,2021-10-20,1053369.3141812135
14,2021-10-21,1068839.8718899537
15,2021-10-22,1065027.5098294069
16,2021-10-25,1091438.0640286256
17,2021-10-26,1091603.7891262819
18,2021-10-27,1094034.9660366822
19,2021-10-28,1108566.3863247682
20,2021-10-29,1111439.3541592408
21,2021-11-01,1131827.5644558717
22,2021-11-02,1124202.7547329713
23,2021-11-03,1144425.1543301393
24,2021-11-04,1159840.4132717897
25,2021-11-05,1167299.5834988405
26,2021-11-08,1150779.0340298463
27,2021-11-09,1129506.985079651
28,2021-11-10,1125307.8740567018
29,2021-11-11,1122268.7531155397
30,2021-11-12,1126026.0732144166
31,2021-11-15,1125086.6789883424
32,2021-11-16,1142822.6885098268
33,2021-11-17,1150116.0480374147
34,2021-11-18,1163155.6000393678
35,2021-11-19,1168183.5933560182
36,2021-11-22,1165255.241152649
37,2021-11-23,1156801.5491360475
38,2021-11-24,1159177.3416775514
39,2021-11-26,1127573.1546658326
40,2021-11-29,1145088.2259243776
41,2021-11-30,1129617.5826138307
42,2021-12-01,1109229.3723171998
43,2021-12-02,1125031.3802212526
44,2021-12-03,1103151.5584439088
45,2021-12-06,1115748.8915127565
46,2021-12-07,1141772.8679531862
47,2021-12-08,1144646.1781948854
48,2021-12-09,1124810.441958313
49,2021-12-10,1132656.2755459596
50,2021-12-13,1103483.1798428346
51,2021-12-14,1097073.915774231
52,2021-12-15,1110997.477633362
53,2021-12-16,1086465.369479065
54,2021-12-17,1079061.4980191041
55,2021-12-20,1061642.21518219
56,2021-12-21,1089143.7644070436
57,2021-12-22,1109008.9476651002
58,2021-12-23,1124392.191531067
59,2021-12-27,1135348.4523648072
60,2021-12-28,1135846.3980740358
61,2021-12-29,1138115.1027554322
62,2021-12-30,1134020.4259365846
63,2021-12-31,1131308.9887112428
64,2022-01-03,1163790.594241028
65,2022-01-04,1156707.7295559694
66,2022-01-05,1125498.7660855104
67,2022-01-06,1122566.0481900026
68,2022-01-07,1103862.7382534791
69,2022-01-10,1097111.9229763795
