,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,983782.0080039673
2,2021-10-05,989665.7901084595
3,2021-10-06,987862.3963248902
4,2021-10-07,1000963.6754157715
5,2021-10-08,995942.1844184571
6,2021-10-11,988174.5273597413
7,2021-10-12,983389.2914283448
8,2021-10-13,984959.199578064
9,2021-10-14,999081.3137061768
10,2021-10-15,1004023.6231658631
11,2021-10-18,997197.770470398
12,2021-10-19,1010300.0364539796
13,2021-10-20,1024736.377514618
14,2021-10-21,1028894.3919036561
15,2021-10-22,1033052.6058166199
16,2021-10-25,1034307.5896194153
17,2021-10-26,1039407.3282058411
18,2021-10-27,1031169.1724403077
19,2021-10-28,1039799.740883606
20,2021-10-29,1049919.6711242371
21,2021-11-01,1048664.7629020386
22,2021-11-02,1055254.6830794984
23,2021-11-03,1061452.009999054
24,2021-11-04,1054155.6818511658
25,2021-11-05,1042388.5347526246
26,2021-11-08,1048585.273205536
27,2021-11-09,1044741.3345763856
28,2021-11-10,1047723.0252540284
29,2021-11-11,1044662.9734618836
30,2021-11-12,1049840.8170249634
31,2021-11-15,1043330.1500098878
32,2021-11-16,1047723.1296127015
33,2021-11-17,1049213.6527106934
34,2021-11-18,1049605.8658759766
35,2021-11-19,1043251.3243758851
36,2021-11-22,1038544.7384193116
37,2021-11-23,1039643.3408973389
38,2021-11-24,1039250.8336570435
39,2021-11-26,1035405.8129470521
40,2021-11-29,1038230.9616477662
41,2021-11-30,1017831.3105323487
42,2021-12-01,1016027.0204398804
43,2021-12-02,1020970.4300277405
44,2021-12-03,1022853.7694595032
45,2021-12-06,1028660.442055481
46,2021-12-07,1041919.5058448487
47,2021-12-08,1049764.6846320801
48,2021-12-09,1052196.6326377564
49,2021-12-10,1055884.1529243165
50,2021-12-13,1065848.423104065
51,2021-12-14,1061533.1029212647
52,2021-12-15,1083265.5159919434
53,2021-12-16,1089698.9979179078
54,2021-12-17,1082088.0679710084
55,2021-12-20,1075535.6647956544
56,2021-12-21,1080024.6820991212
57,2021-12-22,1092625.5344245606
58,2021-12-23,1097114.7607886964
59,2021-12-27,1108691.786209839
60,2021-12-28,1105778.5001151734
61,2021-12-29,1112079.1461723023
62,2021-12-30,1114363.3164527589
63,2021-12-31,1109638.2511680298
64,2022-01-03,1098218.3329169923
65,2022-01-04,1083727.5337684327
66,2022-01-05,1076009.326241272
67,2022-01-06,1063565.4007041627
68,2022-01-07,1058132.1519324952
69,2022-01-10,1068999.7152259522
70,2022-01-11,1077504.4638221436
71,2022-01-12,1074433.2017677003
72,2022-01-13,1057737.7468040162
73,2022-01-14,1055925.9950339966
74,2022-01-18,1041119.1987159424
75,2022-01-19,1036866.9426429444
76,2022-01-20,1030094.0556113892
77,2022-01-21,1019698.3725059205
78,2022-01-24,1016311.4086921387
79,2022-01-25,1009773.850006836
80,2022-01-26,1004496.783524292
81,2022-01-27,1007096.2527091675
82,2022-01-28,1027651.8303153687
83,2022-01-31,1033559.6325843506
84,2022-02-01,1036314.9344642335
85,2022-02-02,1050255.6216819459
86,2022-02-03,1045766.3353889161
87,2022-02-04,1041985.5168769532
88,2022-02-07,1040174.1284110718
89,2022-02-08,1048679.5271842652
90,2022-02-09,1056791.6356208497
91,2022-02-10,1040251.6529090577
92,2022-02-11,1025839.5867774659
93,2022-02-14,1015364.7525413209
94,2022-02-15,1026783.7570655518
95,2022-02-16,1028359.0634277039
96,2022-02-17,1011820.7210700684
97,2022-02-18,1004260.2055366212
98,2022-02-22,1001740.0255134278
99,2022-02-23,996698.6669662171
100,2022-02-24,1000715.6482246094
101,2022-02-25,1031352.7831580811
102,2022-02-28,1023556.7101066285
103,2022-03-01,1017885.8300330811
104,2022-03-02,1033243.6685645753
105,2022-03-03,1038521.1104743653
106,2022-03-04,1043720.6295020753
107,2022-03-07,1025529.2966087037
108,2022-03-08,1004579.5337836915
109,2022-03-09,1023558.8804786378
110,2022-03-10,1023165.5544822388
111,2022-03-11,1015526.0707328492
112,2022-03-14,1022692.6196754151
113,2022-03-15,1043090.7608955079
114,2022-03-16,1055612.3486106568
115,2022-03-17,1072308.661499756
116,2022-03-18,1078923.4059150391
117,2022-03-21,1078102.3550498658
118,2022-03-22,1078339.3808143311
119,2022-03-23,1058984.4524238282
120,2022-03-24,1071625.2087943726
121,2022-03-25,1076603.2055823975
122,2022-03-28,1084424.5458915406
123,2022-03-29,1090824.265267151
124,2022-03-30,1092957.709999817
125,2022-03-31,1082292.852906006
126,2022-04-01,1090825.7763908082
127,2022-04-04,1081740.2141120606
128,2022-04-05,1084031.723130005
129,2022-04-06,1100544.0533225709
130,2022-04-07,1121715.7236564332
131,2022-04-08,1128431.0677955323
132,2022-04-11,1105994.087883728
133,2022-04-12,1095250.4873969727
134,2022-04-13,1100622.2213218384
135,2022-04-14,1095329.2350166016
136,2022-04-18,1083241.9912040406
137,2022-04-19,1093591.3369071656
138,2022-04-20,1108285.9915168458
139,2022-04-21,1096039.597916382
140,2022-04-22,1056064.5792548829
141,2022-04-25,1063174.0647819215
142,2022-04-26,1044450.385956543
143,2022-04-27,1042159.1154639893
144,2022-04-28,1056537.8009116822
145,2022-04-29,1029359.8938682252
146,2022-05-02,1022960.1263587647
147,2022-05-03,1026199.4684302979
148,2022-05-04,1048952.9259879761
149,2022-05-05,1028570.2485587769
150,2022-05-06,1025331.7764899903
151,2022-05-09,998787.4022147828
152,2022-05-10,1002341.553055542
153,2022-05-11,995706.0495460206
154,2022-05-12,1005343.3191001588
155,2022-05-13,1016009.0307014161
156,2022-05-16,1023514.1628883057
157,2022-05-17,1037576.8749396973
158,2022-05-18,1010795.3556602173
159,2022-05-19,1013007.2914207154
160,2022-05-20,1025331.3241203004
161,2022-05-23,1034338.0563819581
162,2022-05-24,1037420.5196921998
163,2022-05-25,1037104.5655524903
164,2022-05-26,1041528.6819236451
165,2022-05-27,1058830.6959159547
166,2022-05-31,1044688.7185981446
167,2022-06-01,1029678.7622459107
168,2022-06-02,1037816.2834708863
169,2022-06-03,1025649.926758545
170,2022-06-06,1025808.2589042359
171,2022-06-07,1039159.5342719727
172,2022-06-08,1030942.2259528809
