,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,991099.5508506281
2,2021-10-05,995078.5238196832
3,2021-10-06,998228.0241172296
4,2021-10-07,1013753.93149638
5,2021-10-08,1009113.1274230463
6,2021-10-11,1005023.8949172479
7,2021-10-12,1012980.1245505792
8,2021-10-13,1017952.6922538263
9,2021-10-14,1028617.0697448236
10,2021-10-15,1044364.4245803339
11,2021-10-18,1057127.7492072564
12,2021-10-19,1054144.3892486077
13,2021-10-20,1053371.2859389763
14,2021-10-21,1068841.6794898491
15,2021-10-22,1065029.858208416
16,2021-10-25,1091440.3641211968
17,2021-10-26,1091606.118187664
18,2021-10-27,1094036.6480948906
19,2021-10-28,1108568.54156184
20,2021-10-29,1111441.3548858147
21,2021-11-01,1131829.5845038872
22,2021-11-02,1124204.8713424187
23,2021-11-03,1144427.415795086
24,2021-11-04,1159842.162922619
25,2021-11-05,1167301.352463482
26,2021-11-08,1150781.0154502373
27,2021-11-09,1129508.7540442925
28,2021-11-10,1125309.5754287224
29,2021-11-11,1122270.560715435
30,2021-11-12,1126027.9677245598
31,2021-11-15,1125088.5734984856
32,2021-11-16,1142824.5443923455
33,2021-11-17,1150117.4597098809
34,2021-11-18,1163156.8185737114
35,2021-11-19,1168184.3966491204
36,2021-11-22,1165256.575573681
37,2021-11-23,1156803.482262371
38,2021-11-24,1159179.187897442
39,2021-11-26,1127573.7165343743
40,2021-11-29,1145088.9036796074
41,2021-11-30,1129617.3622863274
42,2021-12-01,1109228.7464034539
43,2021-12-02,1125031.8358771782
44,2021-12-03,1103151.4057166558
45,2021-12-06,1115749.2988860589
46,2021-12-07,1141773.9416320305
47,2021-12-08,1144647.049084423
48,2021-12-09,1124811.2355926018
49,2021-12-10,1132657.1078040581
50,2021-12-13,1103483.6065261345
51,2021-12-14,1097074.5645644646
52,2021-12-15,1110998.2326438408
53,2021-12-16,1086466.5976722222
54,2021-12-17,1079061.8860671502
55,2021-12-20,1061641.87939143
56,2021-12-21,1089144.1854484063
57,2021-12-22,1109009.5433585625
58,2021-12-23,1124392.9812858086
59,2021-12-27,1135349.6302421074
60,2021-12-28,1135847.595356701
61,2021-12-29,1138116.251518963
62,2021-12-30,1134021.5067870598
63,2021-12-31,1131310.0016334038
64,2022-01-03,1163792.0729072075
65,2022-01-04,1156710.2173469048
66,2022-01-05,1125500.797825573
67,2022-01-06,1122568.6524093132
