,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,989054.6628844301
2,2021-10-05,997117.2066695254
3,2021-10-06,1005716.1023528139
4,2021-10-07,1011765.6354262392
5,2021-10-08,1009726.5622679751
6,2021-10-11,1007658.5279280703
7,2021-10-12,1006203.0691954653
8,2021-10-13,1009502.5654112856
9,2021-10-14,1024680.024113373
10,2021-10-15,1025824.2936522524
11,2021-10-18,1024755.2201811831
12,2021-10-19,1028527.8547255556
13,2021-10-20,1031467.6875350039
14,2021-10-21,1031969.2742430727
15,2021-10-22,1036001.892132477
16,2021-10-25,1036686.0953185122
17,2021-10-26,1040083.3411986391
18,2021-10-27,1035751.5046965639
19,2021-10-28,1041718.270573334
20,2021-10-29,1042589.7486540835
21,2021-11-01,1043106.0760008852
22,2021-11-02,1050871.2476470033
23,2021-11-03,1059403.8751875916
24,2021-11-04,1065792.774288849
25,2021-11-05,1071732.5260970155
26,2021-11-08,1068195.743679718
27,2021-11-09,1069046.2545897523
28,2021-11-10,1064984.1384474793
29,2021-11-11,1066226.8048903504
30,2021-11-12,1070717.849705414
31,2021-11-15,1073685.9673506776
32,2021-11-16,1073217.1838042298
33,2021-11-17,1070546.5584914247
34,2021-11-18,1071812.0327727357
35,2021-11-19,1072094.9716841737
36,2021-11-22,1073280.9305693666
37,2021-11-23,1077001.6851775208
38,2021-11-24,1077644.3262373963
39,2021-11-26,1059347.039990143
40,2021-11-29,1070340.8350188294
41,2021-11-30,1049468.370899872
42,2021-12-01,1041054.421139435
43,2021-12-02,1051553.282856659
44,2021-12-03,1053693.7999846498
45,2021-12-06,1069256.1355101625
46,2021-12-07,1083790.1537901917
47,2021-12-08,1083355.1512953797
48,2021-12-09,1081090.2447630921
49,2021-12-10,1100542.5359160462
50,2021-12-13,1104012.901493744
51,2021-12-14,1098168.6582762757
52,2021-12-15,1115470.2511260072
53,2021-12-16,1109622.9853102723
54,2021-12-17,1094565.6197478333
55,2021-12-20,1090315.0910155335
56,2021-12-21,1098731.4038817445
57,2021-12-22,1108227.999905304
58,2021-12-23,1112015.0764205018
59,2021-12-27,1128025.8483473817
60,2021-12-28,1130109.0358397523
61,2021-12-29,1133816.3009230653
62,2021-12-30,1128907.6322447816
63,2021-12-31,1132014.2205168763
64,2022-01-03,1135609.9436537782
65,2022-01-04,1136456.4927260438
66,2022-01-05,1123829.8172347108
67,2022-01-06,1119903.400486664
68,2022-01-07,1117226.9945723573
69,2022-01-10,1111417.6079680482
70,2022-01-11,1115005.9403121034
71,2022-01-12,1117064.055325226
72,2022-01-13,1108630.4504134217
73,2022-01-14,1113089.5605361024
74,2022-01-18,1093488.5692793885
75,2022-01-19,1093053.094059662
76,2022-01-20,1083625.1623885194
77,2022-01-21,1077195.1040465394
78,2022-01-24,1076577.70434256
79,2022-01-25,1060450.93846579
80,2022-01-26,1056951.900044159
81,2022-01-27,1059417.9228789369
82,2022-01-28,1082711.9854857484
83,2022-01-31,1094392.3007552186
84,2022-02-01,1094659.479946808
85,2022-02-02,1106379.2696349183
86,2022-02-03,1095938.8262221375
87,2022-02-04,1088315.8636977235
88,2022-02-07,1087291.2204024354
89,2022-02-08,1094472.8096739808
90,2022-02-09,1102635.4660002748
91,2022-02-10,1085134.4984862367
92,2022-02-11,1071609.9175993958
93,2022-02-14,1069474.6722914735
94,2022-02-15,1079838.0369078675
95,2022-02-16,1080829.0162550965
96,2022-02-17,1075782.3229949037
97,2022-02-18,1073638.9090468446
98,2022-02-22,1064798.8997008363
99,2022-02-23,1050461.683033661
100,2022-02-24,1049294.8520781556
101,2022-02-25,1076758.7243697206
102,2022-02-28,1066402.8235899964
103,2022-03-01,1055268.9088179627
104,2022-03-02,1070199.0312926332
105,2022-03-03,1071956.1319319764
106,2022-03-04,1066076.04468985
107,2022-03-07,1040515.3920485537
108,2022-03-08,1019588.0401427309
109,2022-03-09,1037023.5277907412
110,2022-03-10,1024535.739460663
111,2022-03-11,1010669.5795027773
112,2022-03-14,1008353.3400923769
113,2022-03-15,1034493.4669615786
114,2022-03-16,1045897.198269562
115,2022-03-17,1053205.9568297425
116,2022-03-18,1061805.011334137
117,2022-03-21,1062065.4521071473
118,2022-03-22,1072365.76268454
119,2022-03-23,1061155.7758986512
120,2022-03-24,1075180.8381316224
121,2022-03-25,1080978.9957167665
122,2022-03-28,1088193.8967482606
123,2022-03-29,1102301.3231246034
124,2022-03-30,1097896.3586165467
125,2022-03-31,1090794.221668915
126,2022-04-01,1097094.651379303
127,2022-04-04,1101522.249867157
128,2022-04-05,1094574.7093550721
129,2022-04-06,1095572.20270224
130,2022-04-07,1105206.218289093
131,2022-04-08,1103556.0546385804
132,2022-04-11,1091848.5956313172
133,2022-04-12,1090562.1074950257
134,2022-04-13,1100157.5119444886
135,2022-04-14,1091778.943768219
136,2022-04-18,1086566.1306120912
137,2022-04-19,1104270.0896269837
138,2022-04-20,1115470.5906645814
139,2022-04-21,1109096.142674164
140,2022-04-22,1087662.8888747254
141,2022-04-25,1095870.3363692323
142,2022-04-26,1071836.5396925965
143,2022-04-27,1079285.5596510926
144,2022-04-28,1103247.50348349
145,2022-04-29,1068458.8169905702
146,2022-05-02,1063410.6714598695
147,2022-05-03,1061843.5247847596
148,2022-05-04,1089812.4971053163
149,2022-05-05,1059434.170368866
150,2022-05-06,1057650.7051665345
151,2022-05-09,1045159.0965773623
152,2022-05-10,1044649.9269072573
153,2022-05-11,1031747.3553206484
154,2022-05-12,1028481.4760024111
155,2022-05-13,1049312.3498732606
156,2022-05-16,1050007.7490965882
157,2022-05-17,1053627.3952223817
158,2022-05-18,991610.3848387758
159,2022-05-19,975974.6657454531
160,2022-05-20,978076.0182463686
161,2022-05-23,998953.616741852
162,2022-05-24,1005907.8633849184
163,2022-05-25,1009555.100071625
164,2022-05-26,1024301.6652648012
165,2022-05-27,1043007.1224715273
166,2022-05-31,1035612.8583113711
167,2022-06-01,1025284.9302641909
168,2022-06-02,1043241.8864867251
169,2022-06-03,1028292.8730361025
170,2022-06-06,1028606.3791091006
171,2022-06-07,1036125.2418486635
