date,a2c,ddpg,td3,ppo,sac,dji,nasdaq
2021-10-01,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2021-10-04,983782.0011942941,991099.906374817,989054.6628844301,983782.0080039673,991099.5508506281,990574.6455164986,978383.395914999
2021-10-05,989666.232319172,995078.1647366334,997117.2066695254,989665.7901084595,995078.5238196832,999656.560502364,992041.5927377759
2021-10-06,987861.3511469918,998227.6264065553,1005716.1023528139,987862.3963248902,998228.0241172296,1002637.2466394025,998301.7619145863
2021-10-07,1000963.3523905831,1013753.3116787721,1011765.6354262392,1000963.6754157715,1013753.93149638,1012482.5122383039,1007116.0552919331
2021-10-08,995943.8865435678,1009112.324129944,1009726.5622679751,995942.1844184571,1009113.1274230463,1012229.3138015111,1001952.4159273779
2021-10-11,988176.8692286569,1005023.4682339479,1007658.5279280703,988174.5273597413,1005023.8949172479,1004940.7265304396,994717.3922013617
2021-10-12,983391.2718318063,1012979.8137539674,1006203.0691954653,983389.2914283448,1012980.1245505792,1001511.3386242893,991227.6294615226
2021-10-13,984960.4220393258,1017952.5939053346,1009502.5654112856,984959.199578064,1017952.6922538263,1001495.8622254562,998832.4324324324
2021-10-14,999082.4181788522,1028616.3533657838,1024680.024113373,999081.3137061768,1028617.0697448236,1017074.2232156451,1017614.3924076748
2021-10-15,1004025.1679614144,1044363.1481045533,1025824.2936522524,1004023.6231658631,1044364.4245803339,1028208.5817997096,1024003.0369300599
2021-10-18,997199.9500659066,1057126.4630764772,1024755.2201811831,997197.770470398,1057127.7492072564,1027155.3900997022,1034412.1147101299
2021-10-19,1010302.0419390756,1054142.7265042115,1028527.8547255556,1010300.0364539796,1054144.3892486077,1032943.9046544586,1041837.1446255416
2021-10-20,1024737.8329699594,1053369.3141812135,1031467.6875350039,1024736.377514618,1053371.2859389763,1037372.8858499513,1040349.1809366619
2021-10-21,1028894.8441660958,1068839.8718899537,1031969.2742430727,1028894.3919036561,1068841.6794898491,1037190.4691784104,1047169.1355477615
2021-10-22,1033053.2371371347,1065027.5098294069,1036001.892132477,1033052.6058166199,1065029.858208416,1039344.5335424772,1038074.9824633795
2021-10-25,1034309.2855914193,1091438.0640286256,1036686.0953185122,1034307.5896194153,1091440.3641211968,1041212.7397163314,1048832.2508768311
2021-10-26,1039408.9984744149,1091603.7891262819,1040083.3411986391,1039407.3282058411,1091606.118187664,1041671.0004376635,1051894.7307612957
2021-10-27,1031169.6905139047,1094034.9660366822,1035751.5046965639,1031169.1724403077,1094036.6480948906,1033916.4142458431,1054524.5141324531
2021-10-28,1039800.2224009591,1108566.3863247682,1041718.270573334,1039799.740883606,1108568.54156184,1040901.9599721152,1066677.8460903652
2021-10-29,1049920.179119404,1111439.3541592408,1042589.7486540835,1049919.6711242371,1111441.3548858147,1043496.9879058771,1071566.3131834124
2021-11-01,1048665.962814625,1131827.5644558717,1043106.0760008852,1048664.7629020386,1131829.5845038872,1046243.5935105638,1075271.7639777183
2021-11-02,1055255.315182026,1124202.7547329713,1050871.2476470033,1055254.6830794984,1124204.8713424187,1050286.8027057296,1079815.473488756
2021-11-03,1061452.433414753,1144425.1543301393,1059403.8751875916,1061452.009999054,1144427.415795086,1053344.1880546326,1091444.142768723
2021-11-04,1054156.5305827218,1159840.4132717897,1065792.774288849,1054155.6818511658,1159842.162922619,1052372.7026367004,1105082.7315865483
2021-11-05,1042389.482483204,1167299.5834988405,1071732.5260970155,1042388.5347526246,1167301.352463482,1058307.4464010203,1105971.0336290488
2021-11-08,1048587.661892231,1150779.0340298463,1068195.743679718,1048585.273205536,1150781.0154502373,1061345.0310631809,1104392.490200124
2021-11-09,1044743.6236460763,1129506.985079651,1069046.2545897523,1044741.3345763856,1129508.7540442925,1058075.300418523,1096544.2706828967
2021-11-10,1047723.3530085641,1125307.8740567018,1064984.1384474793,1047723.0252540284,1125309.5754287224,1051082.471681035,1080699.7482979163
