,account_value,date,daily_return,datadate
0,1000000.0,2022-01-03,,2022-01-03
1,999578.119419098,2022-01-04,-0.000421880580902,2022-01-04
2,999540.7996505738,2022-01-05,-3.733551965490189e-05,2022-01-05
3,999464.2533432008,2022-01-06,-7.658147361255807e-05,2022-01-06
4,999377.2447891237,2022-01-07,-8.705519360607816e-05,2022-01-07
5,999333.5029098511,2022-01-10,-4.376913673032057e-05,2022-01-10
6,999404.0941070558,2022-01-11,7.063827741093931e-05,2022-01-11
7,999493.262691498,2022-01-12,8.922175220993367e-05,2022-01-12
8,999576.3245689394,2022-01-13,8.310398933342178e-05,2022-01-13
9,999323.593500519,2022-01-14,-0.0002528381897494,2022-01-14
10,998494.4750511172,2022-01-18,-0.0008296796501096,2022-01-18
11,998218.8473373416,2022-01-19,-0.0002760433038565,2022-01-19
12,997540.2868202212,2022-01-20,-0.0006797712935699,2022-01-20
13,996770.8596862796,2022-01-21,-0.000771324370662,2022-01-21
14,996321.713095856,2022-01-24,-0.0004506016463653,2022-01-24
15,994751.0211158756,2022-01-25,-0.0015764907653169,2022-01-25
16,993966.4013854982,2022-01-26,-0.0007887599145131,2022-01-26
17,994055.2150505068,2022-01-27,8.935278384125667e-05,2022-01-27
18,995566.1028831484,2022-01-28,0.0015199234506957,2022-01-28
19,995461.3413566592,2022-01-31,-0.0001052280970453,2022-01-31
20,995413.569985962,2022-02-01,-4.798917719095464e-05,2022-02-01
21,995848.542112732,2022-02-02,0.0004369762879323,2022-02-02
22,994054.9474746704,2022-02-03,-0.0018010717114234,2022-02-03
23,995438.4187622071,2022-02-04,0.001391745286366,2022-02-04
24,995313.4366928102,2022-02-07,-0.0001255547978069,2022-02-07
25,995820.9846237184,2022-02-08,0.000509937786628,2022-02-08
26,996677.0353286744,2022-02-09,0.0008596431669689,2022-02-09
27,994250.175505066,2022-02-10,-0.0024349510800237,2022-02-10
28,990511.1977981568,2022-02-11,-0.0037606004997784,2022-02-11
29,990350.7920227052,2022-02-14,-0.0001619424149955,2022-02-14
30,990826.4104839328,2022-02-15,0.0004802525176519,2022-02-15
31,990974.5539821628,2022-02-16,0.0001495150882764,2022-02-16
32,988621.1290882112,2022-02-17,-0.0023748590561629,2022-02-17
33,988531.6639759066,2022-02-18,-9.049484142331644e-05,2022-02-18
34,987952.3507602692,2022-02-22,-0.0005860340510562,2022-02-22
35,987296.637307358,2022-02-23,-0.0006637095932884,2022-02-23
36,987677.432680893,2022-02-24,0.0003856949969702,2022-02-24
37,987647.9793498992,2022-02-25,-2.9820799806734577e-05,2022-02-25
38,987647.9793498992,2022-02-28,0.0,2022-02-28
39,987647.9793498992,2022-03-01,0.0,2022-03-01
40,987647.9793498992,2022-03-02,0.0,2022-03-02
41,987392.7373584748,2022-03-03,-0.0002584341756994,2022-03-03
42,987777.540644455,2022-03-04,0.0003897165448165,2022-03-04
43,987738.0943721771,2022-03-07,-3.9934368473382165e-05,2022-03-07
44,987738.0943721771,2022-03-08,0.0,2022-03-08
45,987738.0943721771,2022-03-09,0.0,2022-03-09
46,987738.0943721771,2022-03-10,0.0,2022-03-10
47,987738.0943721771,2022-03-11,0.0,2022-03-11
48,987559.5445484162,2022-03-14,-0.0001807663638552,2022-03-14
49,987523.3373950958,2022-03-15,-3.666326098528128e-05,2022-03-15
50,987523.3373950958,2022-03-16,0.0,2022-03-16
51,987932.8451023104,2022-03-17,0.0004146815489896,2022-03-17
52,988597.6336925508,2022-03-18,0.000672908683557,2022-03-18
53,988315.6379108432,2022-03-21,-0.0002852482871665,2022-03-21
54,989392.0897098545,2022-03-22,0.0010891781509059,2022-03-22
55,987903.8098651888,2022-03-23,-0.0015042366521265,2022-03-23
56,989119.79550972,2022-03-24,0.0012308745369624,2022-03-24
57,989572.4772541048,2022-03-25,0.0004576611917381,2022-03-25
58,990877.377718735,2022-03-28,0.0013186507250595,2022-03-28
59,992728.0148029332,2022-03-29,0.0018676751794037,2022-03-29
60,991422.6004581456,2022-03-30,-0.0013149768368798,2022-03-30
61,989315.6323650364,2022-03-31,-0.0021251967547799,2022-03-31
62,990471.6146556856,2022-04-01,0.0011684666175604,2022-04-01
63,991217.0553295136,2022-04-04,,2022-04-04
64,989817.4860805512,2022-04-05,-0.001411970507809,2022-04-05
65,990119.3964511872,2022-04-06,0.0003050162023623,2022-04-06
66,989923.6391468048,2022-04-07,-0.0001977108064785,2022-04-07
67,989931.959002304,2022-04-08,8.404542704454343e-06,2022-04-08
68,988417.5576259616,2022-04-11,-0.0015298035007061,2022-04-11
69,988343.7655757904,2022-04-12,-7.46567577656343e-05,2022-04-12
70,988681.1592281344,2022-04-13,0.0003413727734167,2022-04-13
71,987975.9040294648,2022-04-14,-0.0007133292589697,2022-04-14
72,988107.4848552704,2022-04-18,0.0001331822216199,2022-04-18
73,989559.4318431856,2022-04-19,0.0014694221126436,2022-04-19
74,990474.1367626193,2022-04-20,0.0009243557183118,2022-04-20
75,986697.8889217378,2022-04-21,-0.0038125658214803,2022-04-21
76,980832.8652256012,2022-04-22,-0.0059440926771879,2022-04-22
77,980579.5638874056,2022-04-25,-0.0002582512751929,2022-04-25
78,979828.2621150973,2022-04-26,-0.0007661813482323,2022-04-26
79,980395.723596573,2022-04-27,0.0005791438187858,2022-04-27
80,983260.7687648776,2022-04-28,0.002922335440014,2022-04-28
81,978354.7939075473,2022-04-29,-0.0049894951707397,2022-04-29
82,978212.8755725864,2022-05-02,-0.00014505814848,2022-05-02
83,978409.9183147434,2022-05-03,0.0002014313520886,2022-05-03
84,980628.098311234,2022-05-04,0.002267127463621,2022-05-04
85,977475.4224315648,2022-05-05,-0.0032149556851354,2022-05-05
86,978151.3264629368,2022-05-06,0.0006914793107437,2022-05-06
87,971895.665962601,2022-05-09,-0.0063953913173707,2022-05-09
88,971721.2049030308,2022-05-10,-0.0001795059548881,2022-05-10
89,971373.4352870944,2022-05-11,-0.0003578903230488,2022-05-11
90,970988.2762355808,2022-05-12,-0.0003965097639302,2022-05-12
91,970919.1996913912,2022-05-13,-7.114045131140223e-05,2022-05-13
92,971022.615520859,2022-05-16,0.0001065133221185,2022-05-16
93,971979.8475978854,2022-05-17,0.0009857979224436,2022-05-17
94,971907.7476772312,2022-05-18,-7.417841103651845e-05,2022-05-18
95,971907.7476772312,2022-05-19,0.0,2022-05-19
96,971907.7476772312,2022-05-20,0.0,2022-05-20
97,972599.848928452,2022-05-23,0.0007121059101287,2022-05-23
98,972739.763352585,2022-05-24,0.0001438561030904,2022-05-24
99,973648.0892192844,2022-05-25,0.0009337809565517,2022-05-25
100,975624.5888645176,2022-05-26,0.00202999386238,2022-05-26
101,979604.8472675328,2022-05-27,0.0040797028369772,2022-05-27
102,977303.0020465854,2022-05-31,-0.0023497691210573,2022-05-31
103,977182.4295505529,2022-06-01,-0.0001233726856258,2022-06-01
104,980825.4226818088,2022-06-02,0.0037280583656542,2022-06-02
105,977774.2966655736,2022-06-03,-0.0031107737887674,2022-06-03
106,977999.1868610388,2022-06-06,0.0002300021551313,2022-06-06
107,983458.5693370824,2022-06-07,0.0055821953120083,2022-06-07
108,978998.3451175692,2022-06-08,-0.0045352436376852,2022-06-08
109,968041.1689304356,2022-06-09,-0.0111922315719725,2022-06-09
110,957562.5793552405,2022-06-10,-0.0108245288645861,2022-06-10
111,935336.1509357456,2022-06-13,-0.0232114630403168,2022-06-13
112,934830.3202587132,2022-06-14,-0.0005408009479013,2022-06-14
113,934930.99651413,2022-06-15,0.0001076946834468,2022-06-15
114,932629.636897278,2022-06-16,-0.0024615288459067,2022-06-16
115,932564.4972091678,2022-06-17,-6.984518348251978e-05,2022-06-17
116,933503.7806201938,2022-06-21,0.0010072047711842,2022-06-21
117,933470.614281464,2022-06-22,-3.552887456736986e-05,2022-06-22
118,933648.5716079714,2022-06-23,0.0001906405234239,2022-06-23
119,933615.47977829,2022-06-24,-3.544356055118492e-05,2022-06-24
120,933729.005019379,2022-06-27,0.0001215974280073,2022-06-27
121,933051.3069473268,2022-06-28,-0.0007257973870459,2022-06-28
122,932483.114970398,2022-06-29,-0.0006089611286089,2022-06-29
123,931494.7947555544,2022-06-30,-0.0010598800117415,2022-06-30
124,933460.2784523014,2022-07-01,0.0021100318625641,2022-07-01
