date,ensemble,ndx
2022-01-03,1000000.0,1000000.0
2022-01-04,999578.119419098,986544.5301439026
2022-01-05,999540.7996505738,955762.9709692593
2022-01-06,999464.2533432008,955373.9265178237
2022-01-07,999377.2447891237,944879.9051616861
2022-01-10,999333.5029098511,946227.5944364868
2022-01-11,999404.0941070558,960146.7337901499
2022-01-12,999493.262691498,963842.0642861928
2022-01-13,999576.3245689394,939027.7865560346
2022-01-14,999323.593500519,946055.5011500898
2022-01-18,998494.4750511172,921765.3741206258
2022-01-19,998218.8473373416,911892.4982713739
2022-01-20,997540.2868202212,899688.9656483337
2022-01-21,996770.8596862796,874960.7345613741
2022-01-24,996321.713095856,879274.1924220722
2022-01-25,994751.0211158756,857430.4767978245
2022-01-26,993966.4013854982,858863.0291306354
2022-01-27,994055.2150505068,848582.3490047114
2022-01-28,995566.1028831484,875943.0510885078
2022-01-31,995461.3413566592,904754.4735377574
2022-02-01,995413.569985962,910186.0051467018
2022-02-02,995848.542112732,917461.6216584727
2022-02-03,994054.9474746704,878760.9307051114
2022-02-04,995438.4187622071,890471.1450216158
2022-02-07,995313.4366928102,883011.3626545259
2022-02-08,995820.9846237184,893663.5701710967
2022-02-09,996677.0353286744,912445.1733751091
2022-02-10,994250.175505066,891155.3164397852
2022-02-11,990511.1977981568,863776.4463233465
2022-02-14,990350.7920227052,864670.2898576455
2022-02-15,990826.4104839328,886015.30186275
2022-02-16,990974.5539821628,884974.1611517514
2022-02-17,988621.1290882112,858801.2459837996
2022-02-18,988531.6639759066,848971.9852487411
2022-02-22,987952.3507602692,840548.0543871598
2022-02-23,987296.637307358,818665.5171687317
2022-02-24,987677.432680893,846858.8714325854
2022-02-25,987647.9793498992,859856.8856133564
2022-02-28,987647.9793498992,862805.0187799461
2022-03-01,987647.9793498992,848756.8686407447
2022-03-02,987647.9793498992,863161.3962801811
2022-03-03,987392.7373584748,850527.5712618888
2022-03-04,987777.540644455,838566.4368854382
2022-03-07,987738.0943721771,807148.5823134972
2022-03-08,987738.0943721771,804011.3714130564
2022-03-09,987738.0943721771,832771.3079066095
2022-03-10,987738.0943721771,823608.6423496723
2022-03-11,987738.0943721771,806085.0718424374
2022-03-14,987559.5445484162,790620.6436667659
2022-03-15,987523.3373950958,815582.8103662179
2022-03-16,987523.3373950958,845775.3583718413
2022-03-17,987932.8451023104,855580.9474031313
2022-03-18,988597.6336925508,873850.5316546308
2022-03-21,988315.6379108432,871184.7427347399
2022-03-22,989392.0897098545,888045.9789705318
2022-03-23,987903.8098651888,875515.1850428919
2022-03-24,989119.79550972,894794.3674601185
2022-03-25,989572.4772541048,894104.6923708229
2022-03-28,990877.377718735,908229.8939057909
2022-03-29,992728.0148029332,923496.1307416605
2022-03-30,991422.6004581456,913329.311510863
2022-03-31,989315.6323650364,899206.0037121966
2022-04-01,990471.6146556856,900582.8091826327
2022-04-04,991217.0553295136,918663.9074928754
2022-04-05,989817.4860805512,898124.266029235
2022-04-06,990119.3964511872,878626.3570691874
2022-04-07,989923.6391468048,880621.2899042787
2022-04-08,989931.959002304,868225.6614051571
2022-04-11,988417.5576259616,847800.5909877563
2022-04-12,988343.7655757904,844772.4474624288
2022-04-13,988681.1592281344,861561.5441809862
2022-04-14,987975.9040294648,841922.4335079595
2022-04-18,988107.4848552704,842985.9439790193
2022-04-19,989559.4318431856,861135.5126924125
2022-04-20,990474.1367626193,848304.7982780256
2022-04-21,986697.8889217378,831453.2674407788
2022-04-22,980832.8652256012,809420.4740826801
2022-04-25,980579.5638874056,820107.1831074934
2022-04-26,979828.2621150973,788382.7207924908
2022-04-27,980395.723596573,787997.9372477336
2022-04-28,983260.7687648776,815431.3114620993
2022-04-29,978354.7939075473,778995.2332290121
2022-05-02,978212.8755725864,792390.7544953157
2022-05-03,978409.9183147434,793242.2256798692
2022-05-04,980628.098311234,820258.0902190177
2022-05-05,977475.4224315648,778737.6850920107
2022-05-06,978151.3264629368,769222.3703281821
2022-05-09,971895.665962601,738570.4729109308
2022-05-10,971721.2049030308,748153.7254645749
2022-05-11,971373.4352870944,725228.8639499599
2022-05-12,970988.2762355808,723892.0636588926
2022-05-13,970919.1996913912,750671.0336225779
2022-05-16,971022.615520859,741955.5857290872
2022-05-17,971979.8475978854,761378.9288222641
2022-05-18,971907.7476772312,722850.3311552998
2022-05-19,971907.7476772312,719657.9651850784
2022-05-20,971907.7476772312,717233.3909265886
2022-05-23,972599.848928452,729272.1093121405
2022-05-24,972739.763352585,713247.1351912307
2022-05-25,973648.0892192844,723796.9034097432
2022-05-26,975624.5888645176,743968.0948042268
2022-05-27,979604.8472675328,768488.4883320988
2022-05-31,977303.0020465854,766105.6946307605
2022-06-01,977182.4295505529,760425.1366981714
2022-06-02,980825.4226818088,781303.4610634797
