date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,999914.1467918396,1005865.5049902436
2022-01-05,998383.6369163512,995136.0138376162
2022-01-06,997147.9032638548,990471.7975821542
2022-01-07,996398.8717735288,990340.3615824638
2022-01-10,995485.6258354184,985890.7565044003
2022-01-11,997752.2008842464,990896.8558394794
2022-01-12,998977.5575172422,991943.7526526102
2022-01-13,993815.4994277952,987113.9334438421
2022-01-14,993268.6142295836,981597.6787825888
2022-01-18,983259.9847595214,966746.2649914182
2022-01-19,979512.4062156676,957457.7651075325
2022-01-20,972510.6698265076,948895.3129879801
2022-01-21,962839.799758148,936594.6758276811
2022-01-24,962935.238253784,939304.2220211355
2022-01-25,951034.7481521606,937479.1728394073
2022-01-26,946891.9131233214,933935.63266254
2022-01-27,946481.1226221464,933735.8627556182
2022-01-28,965433.9513409575,949170.7840515067
2022-01-31,978981.8594706496,960278.8877588881
2022-02-01,982469.5225084608,967751.3072863698
2022-02-02,991856.6006676864,973876.4811240927
2022-02-03,978226.3451476364,959713.1043613582
2022-02-04,971776.4181245192,959127.5681937693
2022-02-07,969429.1725524748,959165.5789296668
2022-02-08,977696.2170245436,969324.1616417221
2022-02-09,989815.2881564328,977668.4791167842
2022-02-10,972008.4889651946,963278.2124276955
2022-02-11,958280.3151314544,949514.9093374547
2022-02-14,953876.4435058896,944816.6329001071
2022-02-15,964954.6745568007,956369.6544066027
2022-02-16,967323.778853897,954878.0533378178
2022-02-17,956072.1092951354,937870.0641431168
2022-02-18,952071.4302743834,931505.4013148939
2022-02-22,944584.3791360472,918315.0353280962
2022-02-23,928893.029038391,905609.092680531
2022-02-24,936280.4192056272,908125.5955860567
2022-02-25,935344.148801422,930946.9851667373
2022-02-28,935077.5165122986,926405.5564008318
2022-03-01,933410.009389496,910069.5884750595
2022-03-02,936487.967264557,926371.3894472161
2022-03-03,936739.9788002016,923728.4688133122
2022-03-04,936174.8431755068,918812.2712749346
2022-03-07,928002.231880188,897015.8903027246
2022-03-08,927652.5701568606,891966.3348735155
